seed,method,chart,element_role,examples,task_accuracy,chart_accuracy
31,capacity_matched_ordinary_chart_classifier,3,unseen,202,0.15346534550189972,0.0
31,capacity_matched_ordinary_chart_classifier,4,seen,321,0.7352024912834167,0.6137071847915649
31,capacity_matched_ordinary_chart_classifier,5,unseen,176,0.3920454680919647,0.0
31,capacity_matched_ordinary_chart_classifier,6,unseen,195,0.20512820780277252,0.0
31,capacity_matched_ordinary_chart_classifier,7,unseen,215,0.1302325576543808,0.0
31,augmentation_trained_ordinary_chart_classifier,0,seen,324,0.7654321193695068,0.9166666865348816
31,augmentation_trained_ordinary_chart_classifier,1,seen,355,0.6309859156608582,0.8281689882278442
31,augmentation_trained_ordinary_chart_classifier,2,unseen,212,0.13679245114326477,0.0
31,augmentation_trained_ordinary_chart_classifier,3,unseen,202,0.14851485192775726,0.0
31,augmentation_trained_ordinary_chart_classifier,4,seen,321,0.7538940906524658,0.40186914801597595
31,augmentation_trained_ordinary_chart_classifier,5,unseen,176,0.34090909361839294,0.0
31,augmentation_trained_ordinary_chart_classifier,6,unseen,195,0.23589743673801422,0.0
31,augmentation_trained_ordinary_chart_classifier,7,unseen,215,0.10697674751281738,0.0
31,learned_multiplication_table_model,0,seen,324,0.7006173133850098,0.7191358208656311
31,learned_multiplication_table_model,1,seen,355,0.7295774817466736,0.7042253613471985
31,learned_multiplication_table_model,2,unseen,212,0.7169811129570007,0.7735849022865295
31,learned_multiplication_table_model,3,unseen,202,0.698019802570343,0.7277227640151978
31,learned_multiplication_table_model,4,seen,321,0.7289719581604004,0.7289719581604004
31,learned_multiplication_table_model,5,unseen,176,0.6988636255264282,0.7102272510528564
31,learned_multiplication_table_model,6,unseen,195,0.7538461685180664,0.7025641202926636
31,learned_multiplication_table_model,7,unseen,215,0.7116279006004333,0.7581395506858826
31,d4_equivariant_task_classifier,0,seen,324,0.6358024477958679,
31,d4_equivariant_task_classifier,1,seen,355,0.6732394099235535,
31,d4_equivariant_task_classifier,2,unseen,212,0.6084905862808228,
31,d4_equivariant_task_classifier,3,unseen,202,0.6188119053840637,
31,d4_equivariant_task_classifier,4,seen,321,0.6697819232940674,
31,d4_equivariant_task_classifier,5,unseen,176,0.5795454382896423,
31,d4_equivariant_task_classifier,6,unseen,195,0.656410276889801,
31,d4_equivariant_task_classifier,7,unseen,215,0.6651162505149841,
31,structured_hard_retransport,0,seen,324,0.6913580298423767,0.6882715821266174
31,structured_hard_retransport,1,seen,355,0.7154929637908936,0.7183098793029785
31,structured_hard_retransport,2,unseen,212,0.7028301954269409,0.7547169923782349
31,structured_hard_retransport,3,unseen,202,0.6881188154220581,0.7128713130950928
31,structured_hard_retransport,4,seen,321,0.7196261882781982,0.732087254524231
31,structured_hard_retransport,5,unseen,176,0.7045454382896423,0.7159090638160706
31,structured_hard_retransport,6,unseen,195,0.7333333492279053,0.7487179636955261
31,structured_hard_retransport,7,unseen,215,0.7209302186965942,0.7441860437393188
31,structured_soft_retransport,0,seen,324,0.7006173133850098,0.6882715821266174
31,structured_soft_retransport,1,seen,355,0.7267605662345886,0.7183098793029785
31,structured_soft_retransport,2,unseen,212,0.7028301954269409,0.7547169923782349
31,structured_soft_retransport,3,unseen,202,0.7029703259468079,0.7128713130950928
31,structured_soft_retransport,4,seen,321,0.7258567214012146,0.732087254524231
31,structured_soft_retransport,5,unseen,176,0.6875,0.7159090638160706
31,structured_soft_retransport,6,unseen,195,0.7333333492279053,0.7487179636955261
31,structured_soft_retransport,7,unseen,215,0.7255814075469971,0.7441860437393188
31,d4_test_time_augmentation,0,seen,324,0.1697530895471573,
31,d4_test_time_augmentation,1,seen,355,0.17183098196983337,
31,d4_test_time_augmentation,2,unseen,212,0.18867924809455872,
31,d4_test_time_augmentation,3,unseen,202,0.1881188154220581,
31,d4_test_time_augmentation,4,seen,321,0.17757008969783783,
31,d4_test_time_augmentation,5,unseen,176,0.14204545319080353,
31,d4_test_time_augmentation,6,unseen,195,0.17435897886753082,
31,d4_test_time_augmentation,7,unseen,215,0.14418604969978333,
31,supplied_chart_oracle,0,seen,324,0.7808641791343689,1.0
31,supplied_chart_oracle,1,seen,355,0.7690140604972839,1.0
31,supplied_chart_oracle,2,unseen,212,0.75,1.0
31,supplied_chart_oracle,3,unseen,202,0.7277227640151978,1.0
31,supplied_chart_oracle,4,seen,321,0.7788162231445312,1.0
31,supplied_chart_oracle,5,unseen,176,0.7613636255264282,1.0
31,supplied_chart_oracle,6,unseen,195,0.7846153974533081,1.0
31,supplied_chart_oracle,7,unseen,215,0.7813953757286072,1.0
31,random_action_control,0,seen,324,0.25,0.09876543283462524
31,random_action_control,1,seen,355,0.23098590970039368,0.12112676352262497
31,random_action_control,2,unseen,212,0.20283019542694092,0.09433962404727936
31,random_action_control,3,unseen,202,0.2673267424106598,0.14851485192775726
31,random_action_control,4,seen,321,0.25233644247055054,0.11214952915906906
31,random_action_control,5,unseen,176,0.25,0.14204545319080353
31,random_action_control,6,unseen,195,0.23076923191547394,0.13333334028720856
31,random_action_control,7,unseen,215,0.22325581312179565,0.14883720874786377
31,wrong_action_control,0,seen,324,0.08641975373029709,0.006172839552164078
31,wrong_action_control,1,seen,355,0.0845070406794548,0.014084506779909134
31,wrong_action_control,2,unseen,212,0.09433962404727936,0.02358490601181984
31,wrong_action_control,3,unseen,202,0.1336633712053299,0.019801979884505272
31,wrong_action_control,4,seen,321,0.07788161933422089,0.04361370578408241
31,wrong_action_control,5,unseen,176,0.04545454680919647,0.005681818351149559
31,wrong_action_control,6,unseen,195,0.056410256773233414,0.010256410576403141
31,wrong_action_control,7,unseen,215,0.0651162788271904,0.0
32,d4_equivariant_chart_classifier,0,seen,325,0.744615375995636,0.7846153974533081
32,d4_equivariant_chart_classifier,1,seen,340,0.699999988079071,0.7441176176071167
32,d4_equivariant_chart_classifier,2,unseen,165,0.6848484873771667,0.7939394116401672
32,d4_equivariant_chart_classifier,3,unseen,213,0.6666666865348816,0.6948356628417969
32,d4_equivariant_chart_classifier,4,seen,335,0.7432835698127747,0.7432835698127747
32,d4_equivariant_chart_classifier,5,unseen,209,0.6698564887046814,0.7416267991065979
32,d4_equivariant_chart_classifier,6,unseen,217,0.7373272180557251,0.7603686451911926
32,d4_equivariant_chart_classifier,7,unseen,196,0.6938775777816772,0.7704081535339355
32,capacity_matched_ordinary_chart_classifier,0,seen,325,0.7415384650230408,0.7569230794906616
32,capacity_matched_ordinary_chart_classifier,1,seen,340,0.6470588445663452,0.8882352709770203
32,capacity_matched_ordinary_chart_classifier,2,unseen,165,0.1878787875175476,0.0
32,capacity_matched_ordinary_chart_classifier,3,unseen,213,0.17840375006198883,0.0
32,capacity_matched_ordinary_chart_classifier,4,seen,335,0.7492537498474121,0.7402985095977783
32,capacity_matched_ordinary_chart_classifier,5,unseen,209,0.4354066848754883,0.0
32,capacity_matched_ordinary_chart_classifier,6,unseen,217,0.20737327635288239,0.0
32,capacity_matched_ordinary_chart_classifier,7,unseen,196,0.12244898080825806,0.0
32,augmentation_trained_ordinary_chart_classifier,0,seen,325,0.7538461685180664,0.7692307829856873
32,augmentation_trained_ordinary_chart_classifier,1,seen,340,0.658823549747467,0.8911764621734619
32,augmentation_trained_ordinary_chart_classifier,2,unseen,165,0.16363635659217834,0.0
32,augmentation_trained_ordinary_chart_classifier,3,unseen,213,0.17840375006198883,0.0
32,augmentation_trained_ordinary_chart_classifier,4,seen,335,0.7432835698127747,0.683582067489624
32,augmentation_trained_ordinary_chart_classifier,5,unseen,209,0.4354066848754883,0.0
32,augmentation_trained_ordinary_chart_classifier,6,unseen,217,0.20737327635288239,0.0
32,augmentation_trained_ordinary_chart_classifier,7,unseen,196,0.11224489659070969,0.0
32,learned_multiplication_table_model,0,seen,325,0.7200000286102295,0.7846153974533081
32,learned_multiplication_table_model,1,seen,340,0.6882352828979492,0.7382352948188782
32,learned_multiplication_table_model,2,unseen,165,0.6848484873771667,0.7818182110786438
32,learned_multiplication_table_model,3,unseen,213,0.6948356628417969,0.6760563254356384
32,learned_multiplication_table_model,4,seen,335,0.737313449382782,0.7582089304924011
32,learned_multiplication_table_model,5,unseen,209,0.6650717854499817,0.7129186391830444
32,learned_multiplication_table_model,6,unseen,217,0.7235022783279419,0.774193525314331
32,learned_multiplication_table_model,7,unseen,196,0.6785714030265808,0.75
32,d4_equivariant_task_classifier,0,seen,325,0.6738461256027222,
32,d4_equivariant_task_classifier,1,seen,340,0.6470588445663452,
32,d4_equivariant_task_classifier,2,unseen,165,0.6363636255264282,
32,d4_equivariant_task_classifier,3,unseen,213,0.6291079521179199,
32,d4_equivariant_task_classifier,4,seen,335,0.6776119470596313,
32,d4_equivariant_task_classifier,5,unseen,209,0.6555023789405823,
32,d4_equivariant_task_classifier,6,unseen,217,0.7050691246986389,
32,d4_equivariant_task_classifier,7,unseen,196,0.6581632494926453,
32,structured_hard_retransport,0,seen,325,0.7353846430778503,0.7846153974533081
32,structured_hard_retransport,1,seen,340,0.7117646932601929,0.7441176176071167
32,structured_hard_retransport,2,unseen,165,0.7030302882194519,0.7939394116401672
32,structured_hard_retransport,3,unseen,213,0.67136150598526,0.6948356628417969
32,structured_hard_retransport,4,seen,335,0.737313449382782,0.7432835698127747
32,structured_hard_retransport,5,unseen,209,0.660287082195282,0.7416267991065979
32,structured_hard_retransport,6,unseen,217,0.7142857313156128,0.7603686451911926
32,structured_hard_retransport,7,unseen,196,0.6938775777816772,0.7704081535339355
32,structured_soft_retransport,0,seen,325,0.744615375995636,0.7846153974533081
32,structured_soft_retransport,1,seen,340,0.699999988079071,0.7441176176071167
32,structured_soft_retransport,2,unseen,165,0.6848484873771667,0.7939394116401672
32,structured_soft_retransport,3,unseen,213,0.6666666865348816,0.6948356628417969
32,structured_soft_retransport,4,seen,335,0.7432835698127747,0.7432835698127747
32,structured_soft_retransport,5,unseen,209,0.6698564887046814,0.7416267991065979
32,structured_soft_retransport,6,unseen,217,0.7373272180557251,0.7603686451911926
32,structured_soft_retransport,7,unseen,196,0.6938775777816772,0.7704081535339355
32,d4_test_time_augmentation,0,seen,325,0.23076923191547394,
32,d4_test_time_augmentation,1,seen,340,0.20588235557079315,
32,d4_test_time_augmentation,2,unseen,165,0.2545454502105713,
32,d4_test_time_augmentation,3,unseen,213,0.21596243977546692,
32,d4_test_time_augmentation,4,seen,335,0.18208955228328705,
32,d4_test_time_augmentation,5,unseen,209,0.21052631735801697,
32,d4_test_time_augmentation,6,unseen,217,0.2211981564760208,
32,d4_test_time_augmentation,7,unseen,196,0.14795918762683868,
32,supplied_chart_oracle,0,seen,325,0.7815384864807129,1.0
32,supplied_chart_oracle,1,seen,340,0.7588235139846802,1.0
32,supplied_chart_oracle,2,unseen,165,0.7272727489471436,1.0
32,supplied_chart_oracle,3,unseen,213,0.6948356628417969,1.0
32,supplied_chart_oracle,4,seen,335,0.7940298318862915,1.0
32,supplied_chart_oracle,5,unseen,209,0.7177033424377441,1.0
32,supplied_chart_oracle,6,unseen,217,0.7603686451911926,1.0
32,supplied_chart_oracle,7,unseen,196,0.7346938848495483,1.0
32,random_action_control,0,seen,325,0.2769230902194977,0.13846154510974884
32,random_action_control,1,seen,340,0.2647058963775635,0.11176470667123795
32,random_action_control,2,unseen,165,0.21212121844291687,0.13333334028720856
32,random_action_control,3,unseen,213,0.2582159638404846,0.15492957830429077
32,random_action_control,4,seen,335,0.26865673065185547,0.13731342554092407
32,random_action_control,5,unseen,209,0.21052631735801697,0.110047847032547
32,random_action_control,6,unseen,217,0.2626728117465973,0.12903225421905518
32,random_action_control,7,unseen,196,0.2448979616165161,0.12244898080825806
32,wrong_action_control,0,seen,325,0.08615384250879288,0.00615384615957737
32,wrong_action_control,1,seen,340,0.1147058829665184,0.0029411765281111
32,wrong_action_control,2,unseen,165,0.1090909093618393,0.0181818176060915
32,wrong_action_control,3,unseen,213,0.08920187503099442,0.014084506779909134
32,wrong_action_control,4,seen,335,0.08059701323509216,0.04776119440793991
32,wrong_action_control,5,unseen,209,0.06220095604658127,0.0047846888191998005
32,wrong_action_control,6,unseen,217,0.036866359412670135,0.018433179706335068
32,wrong_action_control,7,unseen,196,0.10204081982374191,0.015306122601032257
33,d4_equivariant_chart_classifier,0,seen,344,0.7034883499145508,0.7325581312179565
33,d4_equivariant_chart_classifier,1,seen,313,0.6741213798522949,0.7476038336753845
33,d4_equivariant_chart_classifier,2,unseen,201,0.7512437701225281,0.6965174078941345
33,d4_equivariant_chart_classifier,3,unseen,204,0.7009803652763367,0.7843137383460999
33,d4_equivariant_chart_classifier,4,seen,343,0.7405247688293457,0.7084547877311707
33,d4_equivariant_chart_classifier,5,unseen,188,0.7180851101875305,0.7127659320831299
33,d4_equivariant_chart_classifier,6,unseen,205,0.7365853786468506,0.6585366129875183
33,d4_equivariant_chart_classifier,7,unseen,202,0.7475247383117676,0.7227723002433777
33,capacity_matched_ordinary_chart_classifier,0,seen,344,0.6976743936538696,0.6366279125213623
33,capacity_matched_ordinary_chart_classifier,1,seen,313,0.6741213798522949,0.920127809047699
33,capacity_matched_ordinary_chart_classifier,2,unseen,201,0.19402985274791718,0.0
33,capacity_matched_ordinary_chart_classifier,3,unseen,204,0.2401960790157318,0.0
33,capacity_matched_ordinary_chart_classifier,4,seen,343,0.7463557124137878,0.7988338470458984
33,capacity_matched_ordinary_chart_classifier,5,unseen,188,0.46276596188545227,0.0
33,capacity_matched_ordinary_chart_classifier,6,unseen,205,0.1902438998222351,0.0
33,capacity_matched_ordinary_chart_classifier,7,unseen,202,0.13861386477947235,0.0
33,augmentation_trained_ordinary_chart_classifier,0,seen,344,0.6860465407371521,0.8691860437393188
33,augmentation_trained_ordinary_chart_classifier,1,seen,313,0.6709265112876892,0.920127809047699
33,augmentation_trained_ordinary_chart_classifier,2,unseen,201,0.19900497794151306,0.0
33,augmentation_trained_ordinary_chart_classifier,3,unseen,204,0.2450980395078659,0.0
33,augmentation_trained_ordinary_chart_classifier,4,seen,343,0.7521865963935852,0.5043731927871704
33,augmentation_trained_ordinary_chart_classifier,5,unseen,188,0.5,0.0
33,augmentation_trained_ordinary_chart_classifier,6,unseen,205,0.2048780471086502,0.0
33,augmentation_trained_ordinary_chart_classifier,7,unseen,202,0.1336633712053299,0.0
33,learned_multiplication_table_model,0,seen,344,0.6918604373931885,0.7209302186965942
33,learned_multiplication_table_model,1,seen,313,0.6741213798522949,0.7380191683769226
33,learned_multiplication_table_model,2,unseen,201,0.7313432693481445,0.7213930487632751
33,learned_multiplication_table_model,3,unseen,204,0.6960784196853638,0.7745097875595093
33,learned_multiplication_table_model,4,seen,343,0.728863000869751,0.6851311922073364
33,learned_multiplication_table_model,5,unseen,188,0.6914893388748169,0.6595744490623474
33,learned_multiplication_table_model,6,unseen,205,0.7219512462615967,0.6487804651260376
33,learned_multiplication_table_model,7,unseen,202,0.7623762488365173,0.7227723002433777
33,d4_equivariant_task_classifier,0,seen,344,0.6220930218696594,
33,d4_equivariant_task_classifier,1,seen,313,0.6198083162307739,
33,d4_equivariant_task_classifier,2,unseen,201,0.6716417670249939,
33,d4_equivariant_task_classifier,3,unseen,204,0.6715686321258545,
33,d4_equivariant_task_classifier,4,seen,343,0.6822157502174377,
33,d4_equivariant_task_classifier,5,unseen,188,0.6436170339584351,
33,d4_equivariant_task_classifier,6,unseen,205,0.70243901014328,
33,d4_equivariant_task_classifier,7,unseen,202,0.6633663177490234,
33,structured_hard_retransport,0,seen,344,0.6918604373931885,0.7325581312179565
33,structured_hard_retransport,1,seen,313,0.6741213798522949,0.7476038336753845
33,structured_hard_retransport,2,unseen,201,0.7412935495376587,0.6965174078941345
33,structured_hard_retransport,3,unseen,204,0.686274528503418,0.7843137383460999
33,structured_hard_retransport,4,seen,343,0.728863000869751,0.7084547877311707
33,structured_hard_retransport,5,unseen,188,0.7021276354789734,0.7127659320831299
33,structured_hard_retransport,6,unseen,205,0.7219512462615967,0.6585366129875183
33,structured_hard_retransport,7,unseen,202,0.7574257254600525,0.7227723002433777
33,structured_soft_retransport,0,seen,344,0.7034883499145508,0.7325581312179565
33,structured_soft_retransport,1,seen,313,0.6741213798522949,0.7476038336753845
33,structured_soft_retransport,2,unseen,201,0.7512437701225281,0.6965174078941345
33,structured_soft_retransport,3,unseen,204,0.7009803652763367,0.7843137383460999
33,structured_soft_retransport,4,seen,343,0.7405247688293457,0.7084547877311707
33,structured_soft_retransport,5,unseen,188,0.7180851101875305,0.7127659320831299
33,structured_soft_retransport,6,unseen,205,0.7365853786468506,0.6585366129875183
33,structured_soft_retransport,7,unseen,202,0.7475247383117676,0.7227723002433777
33,d4_test_time_augmentation,0,seen,344,0.22674418985843658,
33,d4_test_time_augmentation,1,seen,313,0.2523961663246155,
33,d4_test_time_augmentation,2,unseen,201,0.23383083939552307,
33,d4_test_time_augmentation,3,unseen,204,0.2696078419685364,
33,d4_test_time_augmentation,4,seen,343,0.24198250472545624,
33,d4_test_time_augmentation,5,unseen,188,0.228723406791687,
33,d4_test_time_augmentation,6,unseen,205,0.2487804889678955,
33,d4_test_time_augmentation,7,unseen,202,0.18316832184791565,
33,supplied_chart_oracle,0,seen,344,0.7441860437393188,1.0
33,supplied_chart_oracle,1,seen,313,0.7156549692153931,1.0
33,supplied_chart_oracle,2,unseen,201,0.7910447716712952,1.0
33,supplied_chart_oracle,3,unseen,204,0.7598039507865906,1.0
33,supplied_chart_oracle,4,seen,343,0.7900874614715576,1.0
33,supplied_chart_oracle,5,unseen,188,0.7446808218955994,1.0
33,supplied_chart_oracle,6,unseen,205,0.785365879535675,1.0
33,supplied_chart_oracle,7,unseen,202,0.7970296740531921,1.0
33,random_action_control,0,seen,344,0.25872093439102173,0.13372093439102173
33,random_action_control,1,seen,313,0.23642171919345856,0.12460064142942429
33,random_action_control,2,unseen,201,0.23880596458911896,0.09452736377716064
33,random_action_control,3,unseen,204,0.21568627655506134,0.09803921729326248
33,random_action_control,4,seen,343,0.23906706273555756,0.09620991349220276
33,random_action_control,5,unseen,188,0.271276593208313,0.14361701905727386
33,random_action_control,6,unseen,205,0.20975609123706818,0.1317073106765747
33,random_action_control,7,unseen,202,0.24752475321292877,0.13861386477947235
33,wrong_action_control,0,seen,344,0.058139536529779434,0.0029069767333567142
33,wrong_action_control,1,seen,313,0.05111820995807648,0.01916932873427868
33,wrong_action_control,2,unseen,201,0.06965173780918121,0.019900497049093246
33,wrong_action_control,3,unseen,204,0.14215686917304993,0.0049019609577953815
33,wrong_action_control,4,seen,343,0.07288629561662674,0.040816325694322586
33,wrong_action_control,5,unseen,188,0.06382978707551956,0.021276595070958138
33,wrong_action_control,6,unseen,205,0.06341463327407837,0.02926829271018505
33,wrong_action_control,7,unseen,202,0.059405941516160965,0.0
34,d4_equivariant_chart_classifier,0,seen,320,0.731249988079071,0.7718750238418579
34,d4_equivariant_chart_classifier,1,seen,339,0.7168141603469849,0.7256637215614319
34,d4_equivariant_chart_classifier,2,unseen,217,0.7419354915618896,0.7373272180557251
34,d4_equivariant_chart_classifier,3,unseen,184,0.717391312122345,0.7445651888847351
34,d4_equivariant_chart_classifier,4,seen,341,0.7067448496818542,0.7243402004241943
34,d4_equivariant_chart_classifier,5,unseen,183,0.7759562730789185,0.7540983557701111
34,d4_equivariant_chart_classifier,6,unseen,198,0.7626262903213501,0.7222222089767456
34,d4_equivariant_chart_classifier,7,unseen,218,0.7706422209739685,0.6972476840019226
34,capacity_matched_ordinary_chart_classifier,0,seen,320,0.762499988079071,0.78125
34,capacity_matched_ordinary_chart_classifier,1,seen,339,0.6696165204048157,0.8849557638168335
34,capacity_matched_ordinary_chart_classifier,2,unseen,217,0.21198156476020813,0.0
34,capacity_matched_ordinary_chart_classifier,3,unseen,184,0.19565217196941376,0.0
34,capacity_matched_ordinary_chart_classifier,4,seen,341,0.7419354915618896,0.7126099467277527
34,capacity_matched_ordinary_chart_classifier,5,unseen,183,0.5191256999969482,0.0
34,capacity_matched_ordinary_chart_classifier,6,unseen,198,0.31313130259513855,0.0
34,capacity_matched_ordinary_chart_classifier,7,unseen,218,0.11009174585342407,0.0
34,augmentation_trained_ordinary_chart_classifier,0,seen,320,0.7281249761581421,0.831250011920929
34,augmentation_trained_ordinary_chart_classifier,1,seen,339,0.6814159154891968,0.9410029649734497
