setting_id,group,seed,method,target_storage_reduction,teacher_executable_bytes,student_dense_tensor_bytes,student_sparse_serialized_bytes,student_quantized_serialized_bytes,student_executable_model_bytes,actual_storage_reduction,teacher_accuracy,student_accuracy,accuracy_delta,retained_teacher_gain_fraction,storage_claim_passed,teacher_artifact_sha256,student_artifact_sha256,execution_commit,source_sha256,command
S3_seed0,S3,0,tensor_factorized_equivariant_head,0.25,2519,2720,,,4395,-0.7447399761810243,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,259518738f955d354a1ef1e64d761148b780fc10e5b6d95f8390e656da3171c6,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,quantized_structured_student,0.25,2519,2720,,6036,6036,-1.3961889638745535,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,49c85c50054fbc0098f0d6da7475f5c4b5466b2b53507b92e0fc775ffb6a82ce,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,pruned_structured_student,0.25,2519,2720,11173,,11173,-3.435490273918221,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,f269e3199402f69033770d32cbf58cf0301f38e31c57a17f5f88d6159f077813,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,ordinary_single_model_control,0.25,2519,2720,,,4395,-0.7447399761810243,1.0,0.9921875,-0.0078125,0.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,e42d4756b0824b4cca895c16b03d70a97054ed61ca1ac66faae8973fb55ba72e,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,chart_token_student,0.25,2519,3104,,,4753,-0.8868598650258039,1.0,0.99609375,-0.00390625,0.5,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,b10e3789f6d55c9534b0cefa3050d9b5853aaf345e9a0ab91daab3e0990527b8,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,shared_canonical_backbone_group_head,0.25,2519,2720,,,4392,-0.7435490273918222,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,2d7d2ad537bd1939b27eb2c284d8602d156fb238adb3d2c5a252ef2e6c5b2ab1,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,low_rank_group_generators,0.25,2519,2720,,,4394,-0.7443429932512902,1.0,0.98046875,-0.01953125,-1.5,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,61f7a2c9ba094401d6eefa3e2840948ae0dde775a66c04ad5df08d713f637030,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,finite_state_chart_module,0.25,2519,2720,,,4393,-0.7439460103215563,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,27463022bb44fa5c2ed65da5c1a3b87ed6dc969c5fbd301f45bf3f8af6b90622,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,tensor_factorized_equivariant_head,0.25,2519,2720,,,4398,-0.7459309249702262,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,ad092a795379f4074d97626a74dd21e956da7e159851dcd5e99d87b293903e6f,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,quantized_structured_student,0.25,2519,2720,,6043,6043,-1.3989678443826916,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,d160e0845247d529e25e457c8c3663ad3ccb39ee25c31027f746b3112e04abd6,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
