model_index,model_seed,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint,setting_id,dataset,architecture,n_models,width,seed
2,4894,0.49306943130493164,0.868,0.46238836584091186,0.8851,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_2.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
3,5894,0.5115302276611328,0.867,0.47429761757850647,0.8819,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1802/model_3.pt,mnist_mlp_N4_W64_S1802,mnist,mlp_relu,4,64,1802
0,2350,0.6438723182678223,0.841,0.5813692351818085,0.864,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_0.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
1,3350,0.6798723678588867,0.823,0.6125639262676239,0.8575,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_1.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
2,4350,0.7257822341918946,0.806,0.664136238193512,0.8317,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1803/model_2.pt,mnist_mlp_N3_W32_S1803,mnist,mlp_relu,3,32,1803
0,2894,0.5427365303039551,0.847,0.47388120503425596,0.8796,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_0.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
1,3894,0.5486806259155274,0.848,0.4778029239177704,0.8775,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_1.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
2,4894,0.548752368927002,0.842,0.47123646092414856,0.878,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1803/model_2.pt,mnist_mlp_N3_W64_S1803,mnist,mlp_relu,3,64,1803
0,2351,0.685338020324707,0.833,0.6186513616085052,0.8635,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1803/model_0.pt,mnist_mlp_N4_W32_S1803,mnist,mlp_relu,4,32,1803
1,3351,0.6641196975708008,0.83,0.5957043757915497,0.8558,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1803/model_1.pt,mnist_mlp_N4_W32_S1803,mnist,mlp_relu,4,32,1803
2,4351,0.67261328125,0.834,0.6036357242584228,0.865,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1803/model_2.pt,mnist_mlp_N4_W32_S1803,mnist,mlp_relu,4,32,1803
3,5351,0.6850084381103516,0.829,0.6127426901817322,0.8586,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1803/model_3.pt,mnist_mlp_N4_W32_S1803,mnist,mlp_relu,4,32,1803
0,2895,0.5378286819458008,0.856,0.47669917917251586,0.8754,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1803/model_0.pt,mnist_mlp_N4_W64_S1803,mnist,mlp_relu,4,64,1803
1,3895,0.5347632789611816,0.85,0.4641600729942322,0.8786,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1803/model_1.pt,mnist_mlp_N4_W64_S1803,mnist,mlp_relu,4,64,1803
2,4895,0.5443649024963378,0.858,0.47681777238845824,0.8772,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1803/model_2.pt,mnist_mlp_N4_W64_S1803,mnist,mlp_relu,4,64,1803
3,5895,0.5430647087097168,0.856,0.4704045704841614,0.8793,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1803/model_3.pt,mnist_mlp_N4_W64_S1803,mnist,mlp_relu,4,64,1803
0,2351,0.6316748046875,0.852,0.6131635441303254,0.8628,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1804/model_0.pt,mnist_mlp_N3_W32_S1804,mnist,mlp_relu,3,32,1804
1,3351,0.6130906829833984,0.849,0.5927554137229919,0.8568,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1804/model_1.pt,mnist_mlp_N3_W32_S1804,mnist,mlp_relu,3,32,1804
2,4351,0.6111817245483399,0.852,0.5970569694519043,0.8654,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1804/model_2.pt,mnist_mlp_N3_W32_S1804,mnist,mlp_relu,3,32,1804
0,2895,0.4756720542907715,0.878,0.46566259660720827,0.8833,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1804/model_0.pt,mnist_mlp_N3_W64_S1804,mnist,mlp_relu,3,64,1804
1,3895,0.4813072662353516,0.876,0.47791709365844726,0.8742,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1804/model_1.pt,mnist_mlp_N3_W64_S1804,mnist,mlp_relu,3,64,1804
2,4895,0.48423535537719725,0.872,0.482344681930542,0.8792,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1804/model_2.pt,mnist_mlp_N3_W64_S1804,mnist,mlp_relu,3,64,1804
0,2352,0.6037632446289063,0.855,0.5916397078990936,0.861,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1804/model_0.pt,mnist_mlp_N4_W32_S1804,mnist,mlp_relu,4,32,1804
1,3352,0.6245091171264648,0.856,0.6158335558891297,0.8564,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1804/model_1.pt,mnist_mlp_N4_W32_S1804,mnist,mlp_relu,4,32,1804
2,4352,0.6465704269409179,0.855,0.6412054577827454,0.8609,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1804/model_2.pt,mnist_mlp_N4_W32_S1804,mnist,mlp_relu,4,32,1804
3,5352,0.6090733184814453,0.856,0.6013811381340027,0.8596,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W32_S1804/model_3.pt,mnist_mlp_N4_W32_S1804,mnist,mlp_relu,4,32,1804
0,2896,0.4764520950317383,0.888,0.4735109889984131,0.8849,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1804/model_0.pt,mnist_mlp_N4_W64_S1804,mnist,mlp_relu,4,64,1804
1,3896,0.49029644775390624,0.871,0.4833919394493103,0.8749,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1804/model_1.pt,mnist_mlp_N4_W64_S1804,mnist,mlp_relu,4,64,1804
2,4896,0.4803462905883789,0.873,0.47621218843460084,0.8783,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1804/model_2.pt,mnist_mlp_N4_W64_S1804,mnist,mlp_relu,4,64,1804
3,5896,0.48221439743041994,0.878,0.4775763143539429,0.8781,<repository-root>/reports/checkpoints/external_baselines/mnist_mlp_N4_W64_S1804/model_3.pt,mnist_mlp_N4_W64_S1804,mnist,mlp_relu,4,64,1804
