method,d,k,noise_level,candidate_rank,projection_residual_threshold,n,projection_acceptance_rate,certification_rate_before_projection,certification_rate_after_projection,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,false_positive_central_rate,period_divisible_index_obstructed_rejection_rate,mean_projection_residual,mean_commutator_residual_before,mean_commutator_residual_after,mean_operator_error_raw,mean_operator_error_denoised,certification_gain_over_best_previous
global_sync_then_heisenberg_projection,2,2,0.01,2,0.003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.01,2,0.01,10,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.3
global_sync_then_heisenberg_projection,2,2,0.01,4,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.01,4,0.0003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.01,4,0.001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.01,4,0.003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.01,4,0.01,10,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.01119589248046937,0.02022020716657682,1.7319121124709866e-16,0.07132852815158024,0.0,0.3
global_sync_then_heisenberg_projection,2,2,0.03,2,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,2,0.0003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,2,0.001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,2,0.003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,2,0.01,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,4,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,4,0.0003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,4,0.001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,4,0.003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.03,4,0.01,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701390794040421,0.04907821848274222,1.7319121124709866e-16,0.3375130506867504,0.0,0.0
global_sync_then_heisenberg_projection,2,2,0.05,2,0.0001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03430534509072129,0.061596187217428724,1.7319121124709866e-16,0.5022602114537393,0.0,0.0
