scope,comparison,method,baseline,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage
overall,optimized_monomial_scale_vs_monomial_scale,optimized_monomial_scale,monomial_scale,optimized monomial over raw monomial,120,0.0008850000000000043,-0.0031198541666666627,0.004802229166666667,-0.16741614924232168,56,0,64,0.5229909838899945,2,6,True
independent_seed_models,optimized_monomial_scale_vs_monomial_scale,optimized_monomial_scale,monomial_scale,optimized monomial over raw monomial,120,0.0008850000000000043,-0.0029511875000000007,0.005049562499999998,-0.16741614924232168,56,0,64,0.5229909838899945,2,6,True
overall,monomial_scaled_greedy_soup_vs_greedy_soup,monomial_scaled_greedy_soup,greedy_soup,raw monomial soup over greedy soup,160,-0.00019937499999999816,-0.00042187499999999593,-1.4999999999999042e-05,0.004157189048230649,4,149,7,0.548828125,0,6,True
independent_seed_models,monomial_scaled_greedy_soup_vs_greedy_soup,monomial_scaled_greedy_soup,greedy_soup,raw monomial soup over greedy soup,120,-0.00026499999999999766,-0.0005608541666666613,-2.5833333333332292e-05,0.005546836549838385,3,112,5,0.7265625,0,6,True
low_lr_finetune_soup,monomial_scaled_greedy_soup_vs_greedy_soup,monomial_scaled_greedy_soup,greedy_soup,raw monomial soup over greedy soup,40,-2.4999999999997245e-06,-1.2499999999998623e-05,4.999999999999449e-06,-1.1753456592558664e-05,1,37,2,1.0,0,2,True
overall,shrinkage_monomial_greedy_soup_vs_greedy_soup,shrinkage_monomial_greedy_soup,greedy_soup,shrinkage monomial soup over greedy soup,120,-0.000280833333333332,-0.0005433541666666632,-6.166666666666447e-05,0.00774037818511327,2,109,9,0.0654296875,0,6,True
independent_seed_models,shrinkage_monomial_greedy_soup_vs_greedy_soup,shrinkage_monomial_greedy_soup,greedy_soup,shrinkage monomial soup over greedy soup,120,-0.000280833333333332,-0.0005466874999999999,-7.08124999999997e-05,0.00774037818511327,2,109,9,0.0654296875,0,6,True
overall,global_monomial_greedy_soup_vs_greedy_soup,global_monomial_greedy_soup,greedy_soup,global monomial soup over greedy soup,120,-0.0003949999999999972,-0.0006791874999999991,-0.00014416666666666468,0.010118489937384923,2,107,11,0.0224609375,0,6,True
independent_seed_models,global_monomial_greedy_soup_vs_greedy_soup,global_monomial_greedy_soup,greedy_soup,global monomial soup over greedy soup,120,-0.0003949999999999972,-0.0006766666666666616,-0.000156666666666666,0.010118489937384923,2,107,11,0.0224609375,0,6,True
overall,optimized_monomial_greedy_soup_vs_greedy_soup,optimized_monomial_greedy_soup,greedy_soup,optimized monomial soup over greedy soup,120,-0.00021416666666666714,-0.000509166666666668,0.0,0.0005782369923591588,0,117,3,0.25,0,6,True
independent_seed_models,optimized_monomial_greedy_soup_vs_greedy_soup,optimized_monomial_greedy_soup,greedy_soup,optimized monomial soup over greedy soup,120,-0.00021416666666666714,-0.0004966666666666675,0.0,0.0005782369923591588,0,117,3,0.25,0,6,True
overall,greedy_aware_selector_vs_c2m3_permutation,greedy_aware_selector,c2m3_permutation,greedy-aware selector over internal C2M3,120,0.043840833333333336,0.037347645833333346,0.05070160416666665,-0.19470265038609505,117,0,3,4.334862053968024e-31,6,6,True
independent_seed_models,greedy_aware_selector_vs_c2m3_permutation,greedy_aware_selector,c2m3_permutation,greedy-aware selector over internal C2M3,120,0.043840833333333336,0.03728777083333333,0.05092391666666666,-0.19470265038609505,117,0,3,4.334862053968024e-31,6,6,True
