summary_type,scope,n_models,width,method,display_name,n_rows,n_seeds,mean_test_accuracy,test_accuracy_standard_error,mean_test_loss,mean_val_accuracy,mean_selection_val_accuracy,mean_merge_degradation,param_count_multiplier,inference_time_multiplier,is_single_model,uses_exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,uses_validation_data,capacity_matched_to_weight_average,implementation_kind,official_repo,license,paired_mean_accuracy_delta_vs_internal_c2m3,paired_accuracy_delta_vs_internal_c2m3_ci_low,paired_accuracy_delta_vs_internal_c2m3_ci_high,mean_loss_delta_vs_internal_c2m3,accuracy_wins_vs_internal_c2m3,accuracy_ties_vs_internal_c2m3,accuracy_losses_vs_internal_c2m3,sign_test_two_sided_p_vs_internal_c2m3,paired_mean_accuracy_delta_vs_greedy_soup,paired_accuracy_delta_vs_greedy_soup_ci_low,paired_accuracy_delta_vs_greedy_soup_ci_high,mean_loss_delta_vs_greedy_soup,accuracy_wins_vs_greedy_soup,accuracy_ties_vs_greedy_soup,accuracy_losses_vs_greedy_soup,sign_test_two_sided_p_vs_greedy_soup,paired_mean_accuracy_delta_vs_weight_average,paired_accuracy_delta_vs_weight_average_ci_low,paired_accuracy_delta_vs_weight_average_ci_high,mean_loss_delta_vs_weight_average,accuracy_wins_vs_weight_average,accuracy_ties_vs_weight_average,accuracy_losses_vs_weight_average,sign_test_two_sided_p_vs_weight_average
method_summary,fixed_setting,4,32,weight_average,Weight average / uniform soup,5,5,0.63794,0.044268020059632214,1.5921692042160036,0.6296000000000002,,0.22508,1.0,1.0,True,False,False,False,False,True,native internal control,,project,-0.18339999999999995,-0.25166,-0.13111999999999996,0.7523335099792481,0,0,5,0.0625,-0.22412,-0.31744,-0.16348000000000001,0.9969519975471496,0,0,5,0.0625,0.0,0.0,0.0,0.0,0,5,0,
method_summary,fixed_setting,4,32,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,5,5,0.8223800000000001,0.0038277147229123453,0.8353115131950378,0.8,,0.04064000000000001,1.0,1.0,True,True,False,False,False,True,faithful in-repo reimplementation,https://github.com/samuela/git-re-basin,MIT,0.0010400000000000188,-0.008600000000000007,0.013240000000000052,-0.004524181041717523,1,2,2,1.0,-0.03968000000000001,-0.04618000000000002,-0.03538000000000001,0.2400943065261841,0,0,5,0.0625,0.18444,0.1281,0.2714,-0.7568576910209656,5,0,0,0.0625
method_summary,fixed_setting,4,32,c2m3_permutation,Internal C2M3-style cycle-consistent alignment,5,5,0.82134,0.009887699429088657,0.8398356942367554,0.8029999999999999,,0.04168000000000003,1.0,1.0,True,True,False,False,False,True,faithful internal C2M3-style reimplementation,https://github.com/crisostomi/cycle-consistent-model-merging,MIT,0.0,0.0,0.0,0.0,0,5,0,,-0.04072000000000002,-0.05886000000000002,-0.02804,0.2446184875679016,0,0,5,0.0625,0.18339999999999995,0.13101699999999997,0.25233999999999995,-0.7523335099792481,5,0,0,0.0625
method_summary,fixed_setting,4,32,greedy_soup,Faithful Model Soups greedy soup,5,5,0.8620600000000002,0.0008840814442120109,0.5952172066688538,0.8464,0.8464,0.0009600000000000053,1.0,1.0,True,False,True,False,True,True,faithful in-repo reimplementation,https://github.com/mlfoundations/model-soups,MIT,0.04072000000000002,0.02804,0.058860000000000065,-0.2446184875679016,5,0,0,0.0625,0.0,0.0,0.0,0.0,0,5,0,,0.22412,0.15636,0.30912,-0.9969519975471496,5,0,0,0.0625
method_summary,fixed_setting,4,32,monomial_scale,Raw monomial scaling,5,5,0.8326800000000001,0.005875746761050888,0.8247529189109801,0.8145999999999999,,0.030340000000000013,1.0,1.0,True,True,False,False,False,True,native internal method,,project,0.011340000000000017,-0.00043999999999999595,0.022840000000000037,-0.015082775325775177,4,0,1,0.375,-0.029380000000000007,-0.03932,-0.02095999999999998,0.22953571224212643,0,0,5,0.0625,0.19474,0.13884,0.2745000000000001,-0.7674162853050233,5,0,0,0.0625
method_summary,fixed_setting,4,32,monomial_scaled_greedy_soup,Monomial-scaled greedy soup,5,5,0.8603800000000001,0.0010650821564555438,0.6144071584796906,0.8475999999999999,0.8475999999999999,0.002639999999999998,1.0,1.0,True,True,True,False,True,True,native internal method plus faithful greedy soup rule,https://github.com/mlfoundations/model-soups,MIT for Model Soups reference; project code for scaling,0.03904000000000003,0.027059999999999973,0.058567500000000015,-0.2254285357570648,5,0,0,0.0625,-0.0016799999999999927,-0.005039999999999978,0.0,0.019189951810836825,0,4,1,1.0,0.22244000000000003,0.15636,0.30200000000000005,-0.9777620457363128,5,0,0,0.0625
method_summary,fixed_setting,4,32,validated_ladder_selector,Validated ladder selector,5,5,0.8343,0.005561294813260665,0.8256787255859374,0.8173999999999999,0.8173999999999999,0.028720000000000013,1.0,1.0,True,True,False,False,True,True,native internal method,,project,0.012960000000000017,0.00371999999999999,0.022200000000000043,-0.014156968650817902,4,1,0,0.125,-0.027760000000000007,-0.0377,-0.02095999999999998,0.23046151891708372,0,0,5,0.0625,0.19636,0.13967999999999994,0.2745,-0.766490478630066,5,0,0,0.0625
method_summary,fixed_setting,4,32,improved_validated_selector,Improved validated ladder selector,5,5,0.8603800000000001,0.0010860018416190686,0.6089691488647462,0.8488,0.8488,0.0026399999999999757,1.0,1.0,True,True,True,False,True,True,native internal method,,project,0.039040000000000054,0.027020000000000044,0.058980000000000074,-0.2308665453720093,5,0,0,0.0625,-0.0016799999999999704,-0.005119999999999969,0.00024000000000001798,0.01375194219589233,1,2,2,1.0,0.22244000000000003,0.16172000000000006,0.30910000000000004,-0.9832000553512573,5,0,0,0.0625
method_summary,fixed_setting,4,64,weight_average,Weight average / uniform soup,5,5,0.7354200000000001,0.030655479118748084,1.4159121596527098,0.7273999999999999,,0.14813999999999997,1.0,1.0,True,False,False,False,False,True,native internal control,,project,-0.13126,-0.19444,-0.07725999999999995,0.7958674492549896,0,0,5,0.0625,-0.14545999999999998,-0.19977999999999996,-0.09345999999999999,0.940839336900711,0,0,5,0.0625,0.0,0.0,0.0,0.0,0,5,0,
method_summary,fixed_setting,4,64,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,5,5,0.8651,0.003605135226312606,0.6273165919589997,0.8524,,0.018459999999999987,1.0,1.0,True,True,False,False,False,True,faithful in-repo reimplementation,https://github.com/samuela/git-re-basin,MIT,-0.0015800000000000037,-0.007780000000000032,0.005120000000000013,0.007271881561279292,2,0,3,1.0,-0.015779999999999995,-0.022160000000000003,-0.010279999999999978,0.15224376920700072,0,0,5,0.0625,0.12967999999999996,0.07939999999999998,0.187,-0.7885955676937103,5,0,0,0.0625
method_summary,fixed_setting,4,64,c2m3_permutation,Internal C2M3-style cycle-consistent alignment,5,5,0.86668,0.0024379089400549843,0.6200447103977204,0.8532,,0.016879999999999985,1.0,1.0,True,True,False,False,False,True,faithful internal C2M3-style reimplementation,https://github.com/crisostomi/cycle-consistent-model-merging,MIT,0.0,0.0,0.0,0.0,0,5,0,,-0.01419999999999999,-0.019439999999999992,-0.008559999999999967,0.14497188764572141,0,0,5,0.0625,0.13126,0.07708,0.1921974999999997,-0.7958674492549896,5,0,0,0.0625
method_summary,fixed_setting,4,64,greedy_soup,Faithful Model Soups greedy soup,5,5,0.88088,0.0017062825088478223,0.4750728227519989,0.8700000000000001,0.8700000000000001,0.0026799999999999936,1.0,1.0,True,False,True,False,True,True,faithful in-repo reimplementation,https://github.com/mlfoundations/model-soups,MIT,0.01419999999999999,0.008039999999999981,0.01980000000000002,-0.14497188764572141,5,0,0,0.0625,0.0,0.0,0.0,0.0,0,5,0,,0.14545999999999998,0.10025999999999997,0.19983549999999967,-0.940839336900711,5,0,0,0.0625
method_summary,fixed_setting,4,64,monomial_scale,Raw monomial scaling,5,5,0.86828,0.001861827059637925,0.6130186480236054,0.8572,,0.015280000000000005,1.0,1.0,True,True,False,False,False,True,native internal method,,project,0.0015999999999999793,-0.00018000000000000237,0.0038599999999999303,-0.007026062374114961,3,0,2,1.0,-0.01260000000000001,-0.018161000000000045,-0.007580000000000009,0.13794582527160645,0,0,5,0.0625,0.13285999999999995,0.08077999999999994,0.19425999999999996,-0.8028935116291045,5,0,0,0.0625
method_summary,fixed_setting,4,64,monomial_scaled_greedy_soup,Monomial-scaled greedy soup,5,5,0.87978,0.0013683566786477895,0.5089065374183654,0.8710000000000001,0.8710000000000001,0.0037799999999999835,1.0,1.0,True,True,True,False,True,True,native internal method plus faithful greedy soup rule,https://github.com/mlfoundations/model-soups,MIT for Model Soups reference; project code for scaling,0.0131,0.007840000000000003,0.018800000000000018,-0.11113817297935484,5,0,0,0.0625,-0.0010999999999999899,-0.004379999999999984,0.0010800000000000143,0.033833714666366574,1,3,1,1.0,0.14436,0.0988,0.20161999999999997,-0.9070056222343444,5,0,0,0.0625
method_summary,fixed_setting,4,64,validated_ladder_selector,Validated ladder selector,5,5,0.86822,0.001904835950941718,0.6134473998260498,0.8587999999999999,0.8587999999999999,0.015339999999999998,1.0,1.0,True,True,False,False,True,True,native internal method,,project,0.0015399999999999858,-0.00015999999999998237,0.0038599999999999524,-0.006597310571670523,2,2,1,1.0,-0.012660000000000005,-0.018085000000000028,-0.007479999999999975,0.1383745770740509,0,0,5,0.0625,0.13279999999999997,0.08077999999999994,0.19436,-0.8024647598266601,5,0,0,0.0625
method_summary,fixed_setting,4,64,improved_validated_selector,Improved validated ladder selector,5,5,0.8775200000000002,0.0013275541420220958,0.5260645572853088,0.8736,0.8736,0.0060399999999999785,1.0,1.0,True,True,True,False,True,True,native internal method,,project,0.010840000000000006,0.0063379999999999895,0.016220000000000033,-0.09398015311241151,5,0,0,0.0625,-0.0033599999999999854,-0.008000000000000007,0.0005800000000000249,0.05099173453330992,1,1,3,0.625,0.14209999999999998,0.09482000000000002,0.20069999999999996,-0.8898476023674011,5,0,0,0.0625
