setting_id,dataset,dataset_variant,setting_role,architecture,n_models,seed,epochs,train_samples,test_samples,val_fraction,angle_degrees,coloring,individual_accuracy_mean,individual_accuracy_max,bridge_accuracy_threshold,bridge_claims_allowed,feasibility_status,parameter_count,inference_cost_units,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,accuracy_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,accuracy_delta_vs_git_rebasin,validation_delta_vs_c2m3,validation_delta_vs_greedy_soup,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,soup_selected_labels,soup_ingredient_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,c2m3_channel_synchronization,0.7925,0.7771103890736898,0.8047,0.7695952297210693,True,evaluated,True,True,True,False,0.0,-0.11660000000000004,0.14159999999999995,0.03799999999999992,0.0,-0.12750000000000006,,,,,,,,,,,,,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,positive_channel_scale,0.8308333333333333,0.6353325653076172,0.8363,0.6266282125473023,True,evaluated,True,True,True,False,0.03160000000000007,-0.08499999999999996,0.17320000000000002,0.0696,0.03833333333333333,-0.08916666666666673,reference_raw,1.0,inf,all,1.0477761384103499,0.601034990545,0.5443242228541113,0.2095786227303317,0.20895732874926085,0.1492757767108175,0.6003525633379073,0.31996312999538307,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,shrinkage_channel_scale,0.8308333333333333,0.6353325653076172,0.8363,0.6266282125473023,True,evaluated,True,True,True,False,0.03160000000000007,-0.08499999999999996,0.17320000000000002,0.0696,0.03833333333333333,-0.08916666666666673,reference_shrinkage_validation_grid,1.0,inf,all,1.0477761384103499,0.601034990545,0.5443242228541113,0.2095786227303317,0.20895732874926085,0.1492757767108175,0.6003525633379073,0.31996312999538307,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,global_channel_scale,0.8258333333333333,0.6358293946584066,0.8334,0.6275247953414917,True,evaluated,True,True,True,False,0.02870000000000006,-0.08789999999999998,0.1703,0.06669999999999998,0.033333333333333326,-0.09416666666666673,global_log_scale_sync_validation_grid,1.0,inf,all,1.049257016798053,0.6001062756278682,0.5653949835413141,0.20875941116776886,0.13243372364612904,0.15287509746797878,0.5823619079951654,0.32058026142120527,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,optimized_channel_scale,0.8308333333333333,0.6353325653076172,0.8363,0.6266282125473023,True,evaluated,True,True,True,False,0.03160000000000007,-0.08499999999999996,0.17320000000000002,0.0696,0.03833333333333333,-0.08916666666666673,optimized_layer_grid_reference,1.0,inf,conv1+conv2+fc1,1.0477761384103499,0.601034990545,0.5443242228541113,0.2095786227303317,0.20895732874926085,0.1492757767108175,0.6003525633379073,0.31996312999538307,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,greedy_soup,0.92,0.2885462808609009,0.9213,0.27462678737640384,True,evaluated,False,True,True,True,0.11660000000000004,0.0,0.2582,0.15459999999999996,0.12750000000000006,0.0,,,,,,,,,,,,,"[""original:1""]",1.0,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,greedy_safe_selector,0.92,0.2885462808609009,0.9213,0.27462678737640384,True,evaluated,False,True,True,True,0.11660000000000004,0.0,0.2582,0.15459999999999996,0.12750000000000006,0.0,,,,,,,,,,,,,,,greedy_soup,shrinkage_channel_scale,-0.08916666666666673,False
rotated_mnist_25deg_N3_S8401,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8401,3,6000,10000,0.2,25.0,none,0.9124666666666666,0.9158,0.8,True,bridge_claims_allowed,206922,1218048,0.5592356887128618,0.1744023532731151,0.22511574074074073,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9682458365518541,0.8838834764831844,0.9437293044088437,0.9319528724812941,weight_average,0.6958333333333333,1.7109357833862304,0.6975,1.7044900428771972,True,evaluated,False,True,True,False,-0.08689999999999998,-0.2156,0.0,-0.06609999999999994,-0.07083333333333341,-0.21166666666666667,,,,,,,,,,,,,,,,,,
rotated_mnist_25deg_N3_S8401,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8401,3,6000,10000,0.2,25.0,none,0.9124666666666666,0.9158,0.8,True,bridge_claims_allowed,206922,1218048,0.5592356887128618,0.1744023532731151,0.22511574074074073,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9682458365518541,0.8838834764831844,0.9437293044088437,0.9319528724812941,git_rebasin_channel_alignment,0.7583333333333333,0.8074598375956218,0.7636,0.7841356588363647,True,evaluated,True,True,True,False,-0.02080000000000004,-0.14950000000000008,0.06609999999999994,0.0,-0.008333333333333415,-0.14916666666666667,,,,,,,,,,,,,,,,,,
rotated_mnist_25deg_N3_S8401,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8401,3,6000,10000,0.2,25.0,none,0.9124666666666666,0.9158,0.8,True,bridge_claims_allowed,206922,1218048,0.5592356887128618,0.1744023532731151,0.22511574074074073,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.9682458365518541,0.8838834764831844,0.9437293044088437,0.9319528724812941,c2m3_channel_synchronization,0.7666666666666667,0.7638362979888916,0.7844,0.7429811019897461,True,evaluated,True,True,True,False,0.0,-0.12870000000000004,0.08689999999999998,0.02080000000000004,0.0,-0.14083333333333325,,,,,,,,,,,,,,,,,,
