summary_type,method,n_rows,n_settings,mean_val_accuracy,mean_val_loss,mean_test_accuracy,test_accuracy_standard_error,test_accuracy_ci_low,test_accuracy_ci_high,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,mean_accuracy_delta_vs_weight_average,mean_validation_delta_vs_c2m3,mean_validation_delta_vs_greedy_soup,mean_channel_permutation_cycle_score,mean_pairwise_activation_alignment_residual,mean_global_channel_scale_sync_residual,mean_log_scale_variance,conv1_log_scale_variance,conv2_log_scale_variance,fc1_log_scale_variance,central_projective_candidate_fraction,finite_index_candidate_fraction,non_brauer_noncentral_fraction,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,is_ensemble,selector_choice_counts,comparison,baseline,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,scope,selector_challenger_counts,left_greedy_rate,mean_delta_vs_greedy_soup,false_challenger_rate,beneficial_challenger_rate,claim,claim_decision,claim_reason
paired_comparison,global_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,global_channel_scaled_greedy_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07256666666666667,0.06319783333333334,0.08382949999999999,-0.3769955229473114,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,global_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,global_channel_scaled_greedy_soup_vs_greedy_soup,greedy_soup,15.0,0.0,0.0,0.0,-2.5653839164085925e-09,0.0,15.0,0.0,,0.0,2.0,,,,,,,,,
paired_comparison,global_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,global_channel_scaled_greedy_soup_vs_weight_average,weight_average,15.0,0.5525666666666667,0.5207526666666665,0.5849773333333333,-1.5419125528748834,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,optimized_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized_channel_scaled_greedy_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07256666666666667,0.062933,0.08347566666666666,-0.37699551991462704,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,optimized_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized_channel_scaled_greedy_soup_vs_greedy_soup,greedy_soup,15.0,0.0,0.0,0.0,4.67300413179809e-10,0.0,15.0,0.0,,0.0,2.0,,,,,,,,,
paired_comparison,optimized_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized_channel_scaled_greedy_soup_vs_weight_average,weight_average,15.0,0.5525666666666667,0.5181961666666667,0.5827808333333333,-1.5419125498421988,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,union_channel_candidate_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,union_channel_candidate_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07321333333333334,0.06328566666666667,0.08444116666666666,-0.3770837409559885,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,union_channel_candidate_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,union_channel_candidate_soup_vs_greedy_soup,greedy_soup,15.0,0.0006466666666666694,0.0,0.0015533333333333326,-8.822057406107456e-05,3.0,11.0,1.0,0.625,2.0,2.0,,,,,,,,,
paired_comparison,union_channel_candidate_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,union_channel_candidate_soup_vs_weight_average,weight_average,15.0,0.5532133333333332,0.5195635,0.5847888333333331,-1.5420007708835604,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,greedy_safe_selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_safe_selector_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07322000000000001,0.06286616666666667,0.08423383333333334,-0.3770590930239359,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,greedy_safe_selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_safe_selector_vs_greedy_soup,greedy_soup,15.0,0.0006533333333333354,0.0,0.0014933333333333318,-6.357264200846184e-05,3.0,12.0,0.0,0.25,2.0,2.0,,,,,,,,,
paired_comparison,greedy_safe_selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_safe_selector_vs_weight_average,weight_average,15.0,0.5532199999999998,0.5197868333333333,0.5852544999999999,-1.5419761229515074,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,ensemble_upper_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensemble_upper_bound_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07761333333333335,0.06840633333333336,0.08765416666666666,-0.38907805776755017,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,ensemble_upper_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensemble_upper_bound_vs_greedy_soup,greedy_soup,15.0,0.005046666666666681,0.0025266666666667065,0.007960166666666678,-0.01208253738562266,12.0,0.0,3.0,0.03515625,2.0,2.0,,,,,,,,,
paired_comparison,ensemble_upper_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensemble_upper_bound_vs_weight_average,weight_average,15.0,0.5576133333333334,0.5248246666666667,0.589242,-1.5539950876951218,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
selector_behavior,greedy_safe_selector,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""greedy_soup"": 12, ""union_channel_candidate_soup"": 3}",,,,,,,,,,,,,,overall,"{""union_channel_candidate_soup"": 15}",0.2,0.0006533333333333354,0.0,0.2,,,
selector_behavior,greedy_safe_selector,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""greedy_soup"": 8, ""union_channel_candidate_soup"": 2}",,,,,,,,,,,,,,N3,"{""union_channel_candidate_soup"": 10}",0.2,0.0008199999999999985,0.0,0.2,,,
selector_behavior,greedy_safe_selector,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""greedy_soup"": 4, ""union_channel_candidate_soup"": 1}",,,,,,,,,,,,,,N4,"{""union_channel_candidate_soup"": 5}",0.2,0.0003200000000000092,0.0,0.2,,,
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_exact_channel_gauges_preserve_logits,Supported,"tests/test_cnn_channel_gauge.py covers permutation, scaling, combined gauges, conv-to-conv, conv-to-linear, hidden scaling, parameter count, and inference-cost proxy"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_shrinkage_channel_scale_over_c2m3_confirmed,Supported limited,"positive paired mean=0.002967, CI lower=0.000313, fixed positives=2/2"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_global_channel_scale_over_c2m3_confirmed,Supported limited,"positive paired mean=0.003180, CI lower=0.000420, fixed positives=2/2"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_optimized_channel_scale_over_c2m3_confirmed,Supported limited,"positive paired mean=0.009333, CI lower=0.004787, fixed positives=2/2"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_channel_candidate_soup_over_greedy_soup,Supported descriptive,"positive paired mean=0.000647, CI=[0.000000,0.001553], fixed positives=2/2"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_greedy_safe_selector_matches_or_beats_greedy_soup,Supported descriptive,"positive paired mean=0.000653, CI=[0.000000,0.001493], fixed positives=2/2"
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_channel_gauge_generalizes_mlp_exact_gauge_story,Supported limited,exactness tests pass; confirmatory performance status follows shrinkage/global/optimized C2M3 comparisons
claim_decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnn_residuals_are_brauer_or_period_index,Not yet supported,central/projective and finite-index candidate fractions are zero under tested diagnostics
