denoising_method,d,k,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,period_divisible_index_obstructed_rejection_rate,mean_learned_operator_error_raw,mean_learned_operator_error_denoised,mean_pair_reconstruction_residual_raw,mean_pair_reconstruction_residual_denoised,mean_global_sync_residual,mean_unitary_projection_residual
global_chart_synchronization,2,2,0.0,4,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.76761993635296e-09,1.1037414036931937e-15,4.5860864009503227e-10,1.1022743734433633e-15,5.502556113866188e-09,
global_chart_synchronization,2,2,0.0001,2,10,0.9,0.0,0.1,0.9,0.9,0.0,0.0,0.9,0.00020129037073836703,0.00010039268109604058,0.000283052112964924,0.0003006945534973974,8.146085550275068e-05,
global_chart_synchronization,2,2,0.0001,4,10,0.9,0.0,0.1,0.9,0.9,0.9,0.0,0.0,0.00020129037073836703,0.00010039268109604058,0.000283052112964924,0.0003006945534973974,8.146085550275068e-05,
global_chart_synchronization,2,2,0.0003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.000301210138826342,0.0008491523228952001,0.0009021010274363987,0.00024731717326443404,
global_chart_synchronization,2,2,0.0003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.000301210138826342,0.0008491523228952001,0.0009021010274363987,0.00024731717326443404,
global_chart_synchronization,2,2,0.001,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.001004277269592278,0.002830211828674872,0.0030071558027107313,0.0009266490368115459,
global_chart_synchronization,2,2,0.001,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.001004277269592278,0.002830211828674872,0.0030071558027107313,0.0009266490368115459,
global_chart_synchronization,2,2,0.003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011400829465252,0.008481788838602244,0.009021416363447781,0.004622909031090879,
global_chart_synchronization,2,2,0.003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003011400829465252,0.008481788838602244,0.009021416363447781,0.004622909031090879,
global_chart_synchronization,2,2,0.01,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009872068083297963,0.027959936443760776,0.030012859627012813,0.04183374519663956,
global_chart_synchronization,2,2,0.01,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.009872068083297963,0.027959936443760776,0.030012859627012813,0.04183374519663956,
global_chart_synchronization,2,2,0.03,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.02514388239406966,0.0795807316112472,0.0884441971968219,0.25472930393893706,
global_chart_synchronization,2,2,0.03,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.02514388239406966,0.0795807316112472,0.0884441971968219,0.25472930393893706,
global_chart_synchronization,2,2,0.05,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.03309336648473905,0.12772172212995295,0.14458124595802727,0.4474163464192557,
global_chart_synchronization,2,2,0.05,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.03309336648473905,0.12772172212995295,0.14458124595802727,0.4474163464192557,
global_chart_synchronization,3,2,0.0,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,3.187970356207554e-15,9.212474316273447e-11,3.1889288798751124e-15,9.314779970373082e-11,
global_chart_synchronization,3,2,0.0,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.449294274397756e-11,3.187970356207554e-15,9.212474316273447e-11,3.1889288798751124e-15,9.314779970373082e-11,
global_chart_synchronization,3,2,0.0,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.449294274397756e-11,3.187970356207554e-15,9.212474316273447e-11,3.1889288798751124e-15,9.314779970373082e-11,
global_chart_synchronization,3,2,0.0001,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.060491455494561e-05,0.00042675271674061474,0.0004253379397099204,1.6250202864641798e-05,
global_chart_synchronization,3,2,0.0001,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.116013021200186e-05,2.060491455494561e-05,0.00042675271674061474,0.0004253379397099204,1.6250202864641798e-05,
global_chart_synchronization,3,2,0.0001,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.116013021200186e-05,2.060491455494561e-05,0.00042675271674061474,0.0004253379397099204,1.6250202864641798e-05,
global_chart_synchronization,3,2,0.0003,3,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,6.18138750996417e-05,0.001280256495797148,0.0012760139399877021,4.8753870561678713e-05,
global_chart_synchronization,3,2,0.0003,6,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00012348201777230303,6.18138750996417e-05,0.001280256495797148,0.0012760139399877021,4.8753870561678713e-05,
global_chart_synchronization,3,2,0.0003,9,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00012348201777230303,6.18138750996417e-05,0.001280256495797148,0.0012760139399877021,4.8753870561678713e-05,
global_chart_synchronization,3,2,0.001,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00020603638578848296,0.0042674840012310745,0.004253369159072307,0.0001626558035185903,
global_chart_synchronization,3,2,0.001,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00020603638578848296,0.0042674840012310745,0.004253369159072307,0.0001626558035185903,
global_chart_synchronization,3,2,0.001,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00020603638578848296,0.0042674840012310745,0.004253369159072307,0.0001626558035185903,
global_chart_synchronization,3,2,0.003,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180315161725345,0.012801657609286579,0.012759706409514047,0.000491861915277569,
global_chart_synchronization,3,2,0.003,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180315161725345,0.012801657609286579,0.012759706409514047,0.000491861915277569,
global_chart_synchronization,3,2,0.003,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0006180315161725345,0.012801657609286579,0.012759706409514047,0.000491861915277569,
global_chart_synchronization,3,2,0.01,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.002059468316575765,0.042644606415434654,0.04251563589773216,0.001782281319447521,
global_chart_synchronization,3,2,0.01,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.002059468316575765,0.042644606415434654,0.04251563589773216,0.001782281319447521,
global_chart_synchronization,3,2,0.01,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.002059468316575765,0.042644606415434654,0.04251563589773216,0.001782281319447521,
global_chart_synchronization,3,2,0.03,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006179886405776212,0.12723179131454398,0.12709660212931348,0.00821370695381585,
global_chart_synchronization,3,2,0.03,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006179886405776212,0.12723179131454398,0.12709660212931348,0.00821370695381585,
global_chart_synchronization,3,2,0.03,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.006179886405776212,0.12723179131454398,0.12709660212931348,0.00821370695381585,
global_chart_synchronization,3,2,0.05,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010319476371528342,0.20977749341197566,0.21034089983364632,0.020091679310818178,
global_chart_synchronization,3,2,0.05,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010319476371528342,0.20977749341197566,0.21034089983364632,0.020091679310818178,
global_chart_synchronization,3,2,0.05,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.030412004403691052,0.010319476371528342,0.20977749341197566,0.21034089983364632,0.020091679310818178,
nearest_unitary_projection,2,2,0.0,2,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.76761993635296e-09,1.5535736932545137e-15,4.5860864009503227e-10,1.6978616205395235e-15,,7.767620063742738e-09
nearest_unitary_projection,2,2,0.0,4,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.76761993635296e-09,1.5535736932545137e-15,4.5860864009503227e-10,1.6978616205395235e-15,,7.767620063742738e-09
nearest_unitary_projection,2,2,0.0001,2,10,0.9,0.0,0.1,0.9,0.9,0.0,0.0,0.9,0.00020129037073836703,0.0001327386834963907,0.000283052112964924,0.00029914481451176906,,0.0001503932228460846
nearest_unitary_projection,2,2,0.0001,4,10,0.9,0.0,0.1,0.9,0.9,0.9,0.0,0.0,0.00020129037073836703,0.0001327386834963907,0.000283052112964924,0.00029914481451176906,,0.0001503932228460846
nearest_unitary_projection,2,2,0.0003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.0003982636143398651,0.0008491523228952001,0.0008974326330063401,,0.000457025135346485
nearest_unitary_projection,2,2,0.0003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006083408160144394,0.0003982636143398651,0.0008491523228952001,0.0008974326330063401,,0.000457025135346485
nearest_unitary_projection,2,2,0.001,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.0013282425433298682,0.002830211828674872,0.0029914397894864825,,0.0017079033928024193
nearest_unitary_projection,2,2,0.001,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002171288878831901,0.0013282425433298682,0.002830211828674872,0.0029914397894864825,,0.0017079033928024193
nearest_unitary_projection,2,2,0.003,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003994212083037128,0.008481788838602244,0.008974728558712692,,0.008356402527855
nearest_unitary_projection,2,2,0.003,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009253904464330245,0.003994212083037128,0.008481788838602244,0.008974728558712692,,0.008356402527855
nearest_unitary_projection,2,2,0.01,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.013530421724231103,0.027959936443760776,0.029922923092637655,,0.07416017492944607
nearest_unitary_projection,2,2,0.01,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07132852815158024,0.013530421724231103,0.027959936443760776,0.029922923092637655,,0.07416017492944607
nearest_unitary_projection,2,2,0.03,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.04352209985476662,0.0795807316112472,0.0890361590633153,,0.42322671264854994
nearest_unitary_projection,2,2,0.03,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3375130506867504,0.04352209985476662,0.0795807316112472,0.0890361590633153,,0.42322671264854994
nearest_unitary_projection,2,2,0.05,2,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.08082829695417695,0.12772172212995295,0.1459867867965613,,0.6803325856565056
nearest_unitary_projection,2,2,0.05,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5022602114537393,0.08082829695417695,0.12772172212995295,0.1459867867965613,,0.6803325856565056
