summary_type,family,width,method,comparison,n_rows,n_unique_seeds,mean_test_accuracy,test_accuracy_ci_low,test_accuracy_ci_high,mean_test_loss,mean_delta,delta_ci_low,delta_ci_high,claim_status
method,mu2_nontrivial_h2,32,wrong_twist_control,,30,30,0.5,0.5,0.5,0.806638798087636,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,c2m3_cluster_branch_ensemble,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,method_descriptive
method,mu2_nontrivial_h2,64,c2m3_synchronized,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,method_descriptive
method,mu2_nontrivial_h2,64,distilled_twisted_single_model,,30,30,0.75,0.75,0.75,0.6242433653524587,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,ensemble_upper_bound,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,method_descriptive
method,mu2_nontrivial_h2,64,git_rebasin_pairwise,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,method_descriptive
method,mu2_nontrivial_h2,64,learned_context_router,,30,30,1.0,1.0,1.0,0.40710558367583316,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,no_twist_branch_control,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,ordinary_weight_average,,30,30,0.4998333333333333,0.4969583333333334,0.5028,0.6931471805599457,,,,method_descriptive
method,mu2_nontrivial_h2,64,parameter_matched_wide_control,,30,30,0.73935,0.7367245833333332,0.7419833333333334,0.6129235899301675,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,random_branch_ensemble,,30,30,0.5166666666666667,0.43333333333333335,0.6,0.7925066439157212,,,,method_descriptive
method,mu2_nontrivial_h2,64,twisted_q2_branch,,30,30,1.0,1.0,1.0,0.40710558367583316,,,,method_descriptive
method,mu2_nontrivial_h2,64,validation_selected_branch_ensemble,,30,30,0.75,0.75,0.75,0.6067219664854577,,,,method_descriptive
method,mu2_nontrivial_h2,64,wrong_context_control,,30,30,0.5,0.5,0.5,0.8060860770428859,,,,control_method_descriptive
method,mu2_nontrivial_h2,64,wrong_twist_control,,30,30,0.5,0.5,0.5,0.8053375988939854,,,,control_method_descriptive
method,random_noncentral,32,c2m3_cluster_branch_ensemble,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,c2m3_synchronized,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,distilled_twisted_single_model,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,control_method_descriptive
method,random_noncentral,32,ensemble_upper_bound,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,git_rebasin_pairwise,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,learned_context_router,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,control_method_descriptive
method,random_noncentral,32,no_twist_branch_control,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,control_method_descriptive
method,random_noncentral,32,ordinary_weight_average,,30,30,0.49844166666666667,0.49542499999999995,0.50125,0.6931471805599457,,,,method_descriptive
method,random_noncentral,32,parameter_matched_wide_control,,30,30,0.9729500000000001,0.9662750000000001,0.9797170833333333,0.47500684344488003,,,,control_method_descriptive
method,random_noncentral,32,random_branch_ensemble,,30,30,0.6,0.43333333333333335,0.7666666666666667,0.726404534705578,,,,method_descriptive
method,random_noncentral,32,twisted_q2_branch,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,validation_selected_branch_ensemble,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,method_descriptive
method,random_noncentral,32,wrong_context_control,,30,30,1.0,1.0,1.0,0.4064329931637074,,,,control_method_descriptive
method,random_noncentral,32,wrong_twist_control,,30,30,0.0,0.0,0.0,1.2062843380718327,,,,control_method_descriptive
method,random_noncentral,64,c2m3_cluster_branch_ensemble,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,c2m3_synchronized,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,distilled_twisted_single_model,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,control_method_descriptive
method,random_noncentral,64,ensemble_upper_bound,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,git_rebasin_pairwise,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,learned_context_router,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,control_method_descriptive
method,random_noncentral,64,no_twist_branch_control,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,control_method_descriptive
method,random_noncentral,64,ordinary_weight_average,,30,30,0.5006583333333333,0.49779916666666657,0.5037170833333334,0.6931471805599457,,,,method_descriptive
method,random_noncentral,64,parameter_matched_wide_control,,30,30,0.9738333333333334,0.968,0.9794335416666667,0.4779402210556205,,,,control_method_descriptive
method,random_noncentral,64,random_branch_ensemble,,30,30,0.5333333333333333,0.36666666666666664,0.7,0.7785414642719093,,,,method_descriptive
method,random_noncentral,64,twisted_q2_branch,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,validation_selected_branch_ensemble,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,method_descriptive
method,random_noncentral,64,wrong_context_control,,30,30,1.0,1.0,1.0,0.40789814862756996,,,,control_method_descriptive
method,random_noncentral,64,wrong_twist_control,,30,30,0.0,0.0,0.0,1.2029296200668316,,,,control_method_descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.49707499999999993,0.49377479166666677,0.500375,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.4,0.23333333333333334,0.5666666666666667,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,1.0,1.0,1.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.0272666666666667,0.021333333333333364,0.03364187500000004,descriptive
paired_delta,mu2_coboundary,32,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,32,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.49707499999999993,0.4938166666666667,0.5002091666666667,supported_coboundary_sync
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.500025,0.4967245833333333,0.5034835416666668,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.0,0.0,0.0,descriptive
paired_delta,mu2_coboundary,64,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.4666666666666667,0.3,0.6333333333333333,descriptive
