null_id,null_family,width,inferred_group_order,H2_size,coefficient_group,accepted_class_count,false_nontrivial_class_rate,false_lift_rate,false_period_index_rate,diagnostic_only,notes
random_generated_permutation_subgroups_0,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_12,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_13,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_14,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_15,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_16,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_17,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_18,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_19,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_20,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_21,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_22,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_23,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_24,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_25,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_26,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_27,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_28,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_29,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_30,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_31,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_32,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_33,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_34,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_35,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_36,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_37,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_38,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_39,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_0,shuffled_edge_maps,64,37,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_1,shuffled_edge_maps,128,81,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_2,shuffled_edge_maps,64,45,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_3,shuffled_edge_maps,128,94,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_4,shuffled_edge_maps,64,19,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_5,shuffled_edge_maps,128,11,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_6,shuffled_edge_maps,64,13,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_7,shuffled_edge_maps,128,33,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_8,shuffled_edge_maps,64,55,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_9,shuffled_edge_maps,128,5,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_10,shuffled_edge_maps,64,11,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_11,shuffled_edge_maps,128,18,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_12,shuffled_edge_maps,64,53,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_13,shuffled_edge_maps,128,86,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_14,shuffled_edge_maps,64,22,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_15,shuffled_edge_maps,128,103,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_16,shuffled_edge_maps,64,20,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_17,shuffled_edge_maps,128,124,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_18,shuffled_edge_maps,64,9,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_19,shuffled_edge_maps,128,56,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_20,shuffled_edge_maps,64,29,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_21,shuffled_edge_maps,128,15,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_22,shuffled_edge_maps,64,37,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_23,shuffled_edge_maps,128,39,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_24,shuffled_edge_maps,64,16,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_25,shuffled_edge_maps,128,70,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_26,shuffled_edge_maps,64,48,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_27,shuffled_edge_maps,128,53,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_28,shuffled_edge_maps,64,40,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_29,shuffled_edge_maps,128,95,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_30,shuffled_edge_maps,64,25,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_31,shuffled_edge_maps,128,109,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_32,shuffled_edge_maps,64,35,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_33,shuffled_edge_maps,128,74,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_34,shuffled_edge_maps,64,54,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_35,shuffled_edge_maps,128,87,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_36,shuffled_edge_maps,64,11,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_37,shuffled_edge_maps,128,114,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_38,shuffled_edge_maps,64,26,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
shuffled_edge_maps_39,shuffled_edge_maps,128,91,,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_0,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_1,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_2,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_3,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_4,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_5,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_6,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_7,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_8,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_9,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_10,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_11,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_12,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_13,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_14,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_15,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_16,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_17,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_18,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_19,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_20,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_21,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_22,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_23,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_24,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_25,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_26,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_27,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_28,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_29,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_30,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_31,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_32,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_33,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_34,random_2cochains_projected_to_nearest_cocycle,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_35,random_2cochains_projected_to_nearest_cocycle,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_36,random_2cochains_projected_to_nearest_cocycle,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_37,random_2cochains_projected_to_nearest_cocycle,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_38,random_2cochains_projected_to_nearest_cocycle,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_2cochains_projected_to_nearest_cocycle_39,random_2cochains_projected_to_nearest_cocycle,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_0,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_1,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_2,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_3,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_4,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_5,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_6,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_7,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_8,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_9,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_10,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_11,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_12,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_13,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_14,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_15,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_16,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_17,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_18,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_19,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_20,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_21,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_22,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_23,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_24,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_25,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_26,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_27,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_28,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_29,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_30,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_31,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_32,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_33,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_34,coboundary_only_cocycles,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_35,coboundary_only_cocycles,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_36,coboundary_only_cocycles,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_37,coboundary_only_cocycles,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_38,coboundary_only_cocycles,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
coboundary_only_cocycles_39,coboundary_only_cocycles,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_0,noncentral_holonomy_controls,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_1,noncentral_holonomy_controls,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_2,noncentral_holonomy_controls,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_3,noncentral_holonomy_controls,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_4,noncentral_holonomy_controls,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_5,noncentral_holonomy_controls,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_6,noncentral_holonomy_controls,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_7,noncentral_holonomy_controls,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_8,noncentral_holonomy_controls,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_9,noncentral_holonomy_controls,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_10,noncentral_holonomy_controls,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_11,noncentral_holonomy_controls,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_12,noncentral_holonomy_controls,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_13,noncentral_holonomy_controls,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_14,noncentral_holonomy_controls,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
noncentral_holonomy_controls_15,noncentral_holonomy_controls,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
