run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity,selector_method,selected_method,selected_branch_lift,best_fallback_method,best_fallback_val_accuracy,best_fallback_val_loss,selector_epsilon,selector_loss_slack
S3_trivial_coboundary_W12_seed21,S3,trivial_coboundary,21,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.981,0.954,0.0795058549501554,0.18220964179848254,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.981,0.0795058549501554,0.0,0.0
S3_trivial_coboundary_W12_seed22,S3,trivial_coboundary,22,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.962,0.962,0.15169869507270434,0.15124530162592226,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.962,0.15169869507270434,0.0,0.0
S3_trivial_coboundary_W12_seed23,S3,trivial_coboundary,23,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.971,0.965,0.11867154162387306,0.13911534284775076,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.971,0.11867154162387306,0.0,0.0
S3_trivial_coboundary_W12_seed24,S3,trivial_coboundary,24,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.956,0.9595,0.17338294386194492,0.16052940509715286,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.956,0.17338294386194492,0.0,0.0
S3_trivial_coboundary_W12_seed25,S3,trivial_coboundary,25,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.97,0.97,0.12005860075021325,0.12057395270002297,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.97,0.12005860075021325,0.0,0.0
S3_trivial_coboundary_W12_seed26,S3,trivial_coboundary,26,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.97,0.954,0.12087572674809108,0.18247498281134494,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.97,0.12087572674809108,0.0,0.0
S3_trivial_coboundary_W12_seed27,S3,trivial_coboundary,27,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.967,0.9635,0.1328589137383372,0.14644631382795228,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.967,0.1328589137383372,0.0,0.0
S3_trivial_coboundary_W12_seed28,S3,trivial_coboundary,28,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.975,0.965,0.10118809837927133,0.13950641832239172,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.975,0.10118809837927133,0.0,0.0
S3_trivial_coboundary_W12_seed29,S3,trivial_coboundary,29,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.965,0.9685,0.14057040884134908,0.1267953459516489,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.965,0.14057040884134908,0.0,0.0
S3_trivial_coboundary_W12_seed30,S3,trivial_coboundary,30,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.976,0.9685,0.0979977793523973,0.12751148757989614,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.976,0.0979977793523973,0.0,0.0
