dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.7453118846694797,0.7416054764416316,0.7490536656118143,0.5443333333333333,0.7714204674673147,0.07172538677918416,3.0,2.0,0.00345499296765115,0.0013911480309423353,0.006478340365682063,0.0,0.0,0.0,0.00553832630098447,0.0038111199015470765,0.007251511954992917,-0.0006881153305203694,-0.0018468969760899693,0.0004479781997186875,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,ties_merging,same_base_task_vector,ok,20,20,20,0.7397735583684951,0.736273321026723,0.7433238308720113,0.5459166666666667,0.7683579564349781,0.0772637130801687,3.0,2.0,-0.002083333333333305,-0.004268679676511884,0.0006510021097046298,-0.00553832630098447,-0.00723721870604776,-0.003845903656821334,0.0,0.0,0.0,-0.006226441631504846,-0.007530441279887403,-0.00483656821378334,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,weight_average,same_base_weight_average,ok,20,20,20,0.7418568917018284,0.7379000791139242,0.7456653217299578,0.5354166666666667,0.765126097197581,0.07518037974683536,3.0,2.0,0.0,0.0,0.0,-0.00345499296765115,-0.0062248857243318734,-0.0014636427566807062,0.002083333333333305,-0.0007782172995780708,0.0042060038677917905,-0.004143108298171529,-0.006774384669479533,-0.0021365945850913347,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,base_model,common_base_reference,ok,20,20,20,0.8565555555555555,0.8524437500000001,0.8602777777777776,0.8185,0.8707043398493421,0.07011111111111108,3.0,2.0,0.04013888888888886,0.03594305555555557,0.044139583333333315,-0.003777777777777739,-0.005861111111111075,-0.0019722222222222246,0.032027777777777724,0.026861111111111075,0.03686180555555554,0.0009722222222222149,-0.0020277777777777404,0.003834027777777751,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,dare,same_base_task_vector,ok,20,20,20,0.8555833333333334,0.8516659722222222,0.8593618055555556,0.7721666666666668,0.8714427622970374,0.0710833333333333,3.0,2.0,0.03916666666666663,0.03641666666666661,0.04199999999999993,-0.004749999999999955,-0.006722222222222181,-0.0028048611111110506,0.031055555555555503,0.02747083333333325,0.03463888888888879,0.0,0.0,0.0,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.8164166666666667,0.8125277777777777,0.8198611111111112,0.6596666666666666,0.8315045129292653,0.11024999999999999,3.0,2.0,0.0,0.0,0.0,-0.04391666666666663,-0.04702777777777774,-0.040805555555555546,-0.008111111111111088,-0.01108402777777776,-0.005111111111111079,-0.03916666666666663,-0.04188958333333332,-0.03652777777777775,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_digits_0_4,individual_task_model,ok,20,20,20,0.5882777777777777,0.581861111111111,0.5947791666666665,0.17899999999999996,0.6046847139852131,0.3383888888888889,3.0,2.0,-0.2281388888888888,-0.23449999999999993,-0.22172083333333328,-0.2720555555555555,-0.2791395833333333,-0.26511111111111113,-0.23624999999999993,-0.24316736111111106,-0.23033263888888883,-0.2673055555555555,-0.27375208333333334,-0.26055486111111104,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,individual_finetuned_digits_5_9,individual_task_model,ok,20,20,20,0.495,0.48825,0.5017236111111111,0.1793333333333333,0.5025046984286825,0.43166666666666675,3.0,2.0,-0.32141666666666663,-0.32897361111111106,-0.3132222222222222,-0.3653333333333334,-0.37058402777777777,-0.35963819444444434,-0.32952777777777775,-0.33697361111111107,-0.32205555555555554,-0.3605833333333333,-0.3665277777777778,-0.3547222222222222,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
