dataset,requested_dataset,architecture,width,epochs,lr,max_train_samples,max_test_samples,val_fraction,batch_size,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,seed,device,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,setting_id
fashion_mnist,fashion_mnist,mlp2,64,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4699320746527777,0.8366666666666667,0.5048195381164551,0.828,0.5559500694274903,0.808,fashion_mnist_mlp2_W64_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.493373441696167,0.8311111111111111,0.4942676620483398,0.818,0.5728661804199219,0.795,fashion_mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.5115303466584947,0.8206666666666667,0.5376077117919922,0.808,0.5901369132995605,0.789,fashion_mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4871295712788899,0.8348888888888889,0.5419810791015625,0.81,0.5789934730529785,0.792,fashion_mnist_mlp2_W64_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.4119464313719008,0.855,0.4673427772521972,0.846,0.5249388046264648,0.823,fashion_mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.4200755382113986,0.8541111111111112,0.455275707244873,0.84,0.5273055953979492,0.821,fashion_mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,64,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4142433354059855,0.8562222222222222,0.4661756286621094,0.84,0.5192308044433593,0.825,fashion_mnist_mlp2_W64_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.5209724383884006,0.8175555555555556,0.5171277694702149,0.816,0.5862050247192383,0.792,fashion_mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.5152182138231065,0.8235555555555556,0.5451768035888672,0.802,0.6017612075805664,0.789,fashion_mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.5043412835862902,0.8246666666666667,0.5465773010253906,0.806,0.5831081085205078,0.794,fashion_mnist_mlp2_W128_E6_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.4179008992513021,0.8542222222222222,0.4655972023010254,0.834,0.5187251319885254,0.823,fashion_mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.4280996393627591,0.8493333333333334,0.4647675094604492,0.84,0.5276271743774414,0.821,fashion_mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,6,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4255010221269396,0.8516666666666667,0.4764183044433593,0.834,0.5217513313293457,0.814,fashion_mnist_mlp2_W128_E6_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.4396341593000624,0.85,0.4553423767089843,0.842,0.5357234115600586,0.809,fashion_mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.4316965499454074,0.8482222222222222,0.4928933181762695,0.816,0.5517412567138672,0.801,fashion_mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.4230148885515001,0.8528888888888889,0.4964800643920898,0.822,0.5430583839416504,0.808,fashion_mnist_mlp2_W128_E10_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.3610676316155328,0.8727777777777778,0.4297659606933594,0.854,0.488788631439209,0.836,fashion_mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.3723481616973877,0.8687777777777778,0.4304173545837402,0.852,0.493960262298584,0.833,fashion_mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
fashion_mnist,fashion_mnist,mlp2,128,10,0.001,10000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1002,cpu,0.3633595666885376,0.874,0.4365027275085449,0.847,0.4861420173645019,0.83,fashion_mnist_mlp2_W128_E10_LR0.001_N10000_adamw_cosine_none
mnist,mnist,small_cnn,32,5,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.6481353664398193,0.8088888888888889,0.6382135620117187,0.798,0.6984812393188476,0.797,mnist_small_cnn_W32_E5_LR0.001_N5000_adamw_cosine_none
mnist,mnist,small_cnn,32,5,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.6622013538148668,0.7988888888888889,0.7342113647460937,0.78,0.723358169555664,0.778,mnist_small_cnn_W32_E5_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,small_cnn,32,5,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1000,cpu,0.7464442494710286,0.7284444444444444,0.7336931915283204,0.73,0.7677256164550781,0.721,fashion_mnist_small_cnn_W32_E5_LR0.001_N5000_adamw_cosine_none
fashion_mnist,fashion_mnist,small_cnn,32,5,0.001,5000,1000,0.1,128,adamw,0.0001,cosine,3,0.5,none,1001,cpu,0.7434196569654676,0.7282222222222222,0.7495575714111328,0.718,0.7714250793457031,0.721,fashion_mnist_small_cnn_W32_E5_LR0.001_N5000_adamw_cosine_none
