run_id,setting_id,dataset,architecture,n_models,width,domain_shift,seed,matching,alignment_variant,alignment_source,alignment_noise,cycle_score_layer,independent_model_draw,single_best_accuracy,mean_individual_accuracy,cycle_score,sync_disagreement,sync_reference,baseline,loss,accuracy,merge_degradation,is_single_model,capacity_matched_to_weight_average,method_note,soup_indices,rank_lift_branches
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",ensemble_upper_bound,0.20543531227111816,0.936,-0.0010000000000000009,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",weight_average,1.6894372253417969,0.365,0.5660000000000001,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",greedy_soup,0.21252482795715333,0.931,0.0,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",git_rebasin_pairwise,0.3028313331604004,0.916,0.015000000000000013,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",c2m3_cycle_consistent,0.3065949382781982,0.917,0.014000000000000012,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",twisted_rank_lift_2,0.22587191772460938,0.935,-0.0040000000000000036,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1001_observed,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,observed,observed,0.0,hidden2,True,0.931,0.9303333333333335,0.8569568250501305,0.1831597222222222,"hidden1:2,hidden2:0",ensemble_upper_bound,0.2091502685546875,0.935,-0.0040000000000000036,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",weight_average,1.6894372253417969,0.365,0.5660000000000001,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",greedy_soup,0.21252482795715333,0.931,0.0,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",git_rebasin_pairwise,0.3444266929626465,0.906,0.025000000000000022,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",c2m3_cycle_consistent,0.34996852111816407,0.917,0.014000000000000012,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",twisted_rank_lift_2,0.23216003036499022,0.935,-0.0040000000000000036,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.931,0.9303333333333335,0.9057110466368399,0.2282986111111111,"hidden1:2,hidden2:0",ensemble_upper_bound,0.2091502685546875,0.935,-0.0040000000000000036,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",weight_average,1.6894372253417969,0.365,0.5660000000000001,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",greedy_soup,0.21252482795715333,0.931,0.0,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1001_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1001,mnist,mlp2,3,128,none,1001,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.931,0.9303333333333335,0.9437293044088437,0.3077256944444444,"hidden1:0,hidden2:1",git_rebasin_pairwise,0.5551839370727539,0.867,0.06400000000000006,True,True,single model,,
