setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,uses_validation_data,is_single_model,capacity_matched_to_weight_average,capacity_matched_to_rank_lift,branch_count,parameter_multiplier,inference_multiplier,candidate_method,selector_method,selected_candidate_method,selected_lift,selector_no_test_leakage,selector_epsilon,selector_loss_slack,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,available_group_cohomology_lift_rows
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4214,fashion_mnist,mlp,3,128,none,monomial_activation,4214,greedy_soup,0.833,0.4901447105407714,0.8565,0.4441477184295654,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8565,0.4441477184295654,0.833,0.4901447105407714,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4215,fashion_mnist,mlp,3,128,none,monomial_activation,4215,greedy_soup,0.834,0.4867353744506836,0.856,0.4419882640838623,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.856,0.4419882640838623,0.834,0.4867353744506836,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4216,fashion_mnist,mlp,3,128,none,monomial_activation,4216,greedy_soup,0.8325,0.4863558177947998,0.859,0.4420747528076172,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.859,0.4420747528076172,0.8325,0.4863558177947998,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4217,fashion_mnist,mlp,3,128,none,monomial_activation,4217,greedy_soup,0.8315,0.4936361598968506,0.857,0.4488651332855224,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.857,0.4488651332855224,0.8315,0.4936361598968506,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4218,fashion_mnist,mlp,3,128,none,monomial_activation,4218,greedy_soup,0.835,0.4939005832672119,0.8555,0.4465143280029297,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8555,0.4465143280029297,0.835,0.4939005832672119,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4219,fashion_mnist,mlp,3,128,none,monomial_activation,4219,greedy_soup,0.833,0.4910410461425781,0.855,0.4460452213287353,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.855,0.4460452213287353,0.833,0.4910410461425781,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,greedy_soup,0.8215,0.5273193492889404,0.84,0.47955029296875,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.84,0.47955029296875,0.8215,0.5273193492889404,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,greedy_soup,0.8125,0.5276349887847901,0.8455,0.4797275581359863,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8455,0.4797275581359863,0.8125,0.5276349887847901,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,greedy_soup,0.8125,0.5363254203796387,0.8405,0.4888443069458008,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8405,0.4888443069458008,0.8125,0.5363254203796387,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,greedy_soup,0.8175,0.525330509185791,0.844,0.4727055320739746,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.844,0.4727055320739746,0.8175,0.525330509185791,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,greedy_soup,0.8145,0.5242247257232666,0.8445,0.4792145156860352,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8445,0.4792145156860352,0.8145,0.5242247257232666,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4205,greedy_soup,0.8115,0.530704496383667,0.844,0.4795514850616455,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.844,0.4795514850616455,0.8115,0.530704496383667,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4206,greedy_soup,0.82,0.5279941120147705,0.8435,0.4823680934906006,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8435,0.4823680934906006,0.82,0.5279941120147705,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4207,greedy_soup,0.8095,0.5386675224304199,0.8385,0.4914516620635986,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8385,0.4914516620635986,0.8095,0.5386675224304199,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4208,greedy_soup,0.813,0.5344125709533691,0.843,0.4870808525085449,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.843,0.4870808525085449,0.813,0.5344125709533691,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4209,greedy_soup,0.817,0.5258516979217529,0.847,0.476715684890747,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.847,0.476715684890747,0.817,0.5258516979217529,1782
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4210,greedy_soup,0.8135,0.5346486778259277,0.842,0.4843445262908935,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.842,0.4843445262908935,0.8135,0.5346486778259277,1782
