summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,pairwise_alignment_residual_mean,1680,16.0,standardized_linear_beta,-0.018450091919656623,-0.025820713814596583,0.010590744430980849,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,combined_obstruction_score,1680,16.0,standardized_linear_beta,0.026311877111777404,-0.0116761971879053,0.03637813659556587,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,sync_disagreement,1680,16.0,standardized_linear_beta,-0.0016980427336849154,-0.005313257472635045,0.004927946376128241,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-0.0006609811547094459,-0.0023533720915149864,0.0012670902594769092,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-0.0016874121764795696,-0.003029298610913164,-0.00018829330761855175,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_linear_beta,0.0007744510074761109,-0.0008994324889842835,0.0038550581179995266,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_linear_beta,1.503146223661319e-18,-7.568212791841357e-17,4.629199380418426e-17,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_linear_beta,0.0008291739073862728,-0.001243599330789321,0.0030492024518256793,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_only,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_linear_beta,0.002398256604578582,0.0008123481942045563,0.004808737303264988,proxy_validation_target_not_test_selection,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,local_quality_only,intercept,1680,16.0,standardized_logistic_beta,-25.028511014887894,-25.536402578965404,-23.74312854671126,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,local_quality_only,candidate_individual_val_accuracy,1680,16.0,standardized_logistic_beta,0.11967757861260199,-0.7456719885585511,0.5278567317820554,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,local_quality_only,candidate_individual_val_loss,1680,16.0,standardized_logistic_beta,0.12057231870902826,-0.5601556779381007,0.7246064979724605,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,local_quality_only,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_logistic_beta,5.364957998638511,4.909474337514183,7.210223171665981,coefficient_for_explaining_greedy_soup_acceptance_only,,,
logistic_coefficient,candidate_accepted_by_greedy_soup,local_quality_only,candidate_rank_fraction,1680,16.0,standardized_logistic_beta,-26.507527430582854,-26.84486508189114,-24.255033691430643,coefficient_for_explaining_greedy_soup_acceptance_only,,,
regression_beta,validation_margin_after_adding_candidate_proxy,local_quality_only,intercept,1680,16.0,standardized_linear_beta,-0.008267261904761916,-0.011476252948113209,-0.004782770593869737,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,local_quality_only,candidate_individual_val_accuracy,1680,16.0,standardized_linear_beta,3.7744495029468084e-11,-1.1284555118140117e-11,1.4837562507173609e-10,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,local_quality_only,candidate_individual_val_loss,1680,16.0,standardized_linear_beta,3.3687216210998017e-11,-1.3466093219888574e-11,1.3555841588130944e-10,proxy_validation_target_not_test_selection,,,
