setting_id,dataset,architecture,n_models,setting_role,seed,epochs,max_train_samples,max_test_samples,val_fraction,feature_batches,individual_accuracy_mean,individual_accuracy_max,parameter_count,inference_cost_units,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,is_ensemble,accuracy_delta_vs_c2m3,validation_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,validation_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,validation_delta_vs_weight_average,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv1_max_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,conv2_max_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,fc1_max_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,max_abs_log_scale,soup_selected_labels,soup_ingredient_count,union_candidate_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,shrinkage_channel_scale,0.8116666666666666,0.7356165122985839,0.7896,0.7628335906982422,True,evaluated,True,True,True,False,False,0.0,0.0,-0.052200000000000024,-0.04416666666666669,0.4357,0.45916666666666667,reference_shrinkage_validation_grid,0.0,1.0,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,global_channel_scale,0.8116666666666666,0.7356165122985839,0.7896,0.7628335906982422,True,evaluated,True,True,True,False,False,0.0,0.0,-0.052200000000000024,-0.04416666666666669,0.4357,0.45916666666666667,global_log_scale_sync_validation_grid,0.0,1.0,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,optimized_channel_scale,0.8175,0.7324611727396647,0.7926,0.7598871618270874,True,evaluated,True,True,True,False,False,0.0030000000000000027,0.005833333333333357,-0.04920000000000002,-0.03833333333333333,0.4387,0.465,optimized_layer_grid_reference,0.5,inf,fc1,0.0,0.0,0.0,0.0,0.0,0.0,0.02313406781066094,0.07629886016260569,0.8226730739334819,0.00771135593688698,0.02543295338753523,0.8226730739334819,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,greedy_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,False,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,,,,,,,,,,,,,,,,"[""original:0""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,channel_scaled_greedy_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,True,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,,,,,,,,,,,,,,,,"[""scaled:0""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,shrinkage_channel_scaled_greedy_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,True,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,0.0,1.0,,,,,,,,,,,,,,"[""shrinkage:0""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,global_channel_scaled_greedy_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,True,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,0.0,1.0,,,,,,,,,,,,,,"[""global:0""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,optimized_channel_scaled_greedy_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,True,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,0.5,inf,fc1,,,,,,,,,,,,,"[""optimized:0""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,union_channel_candidate_soup,0.8558333333333333,0.4177262226740519,0.8418,0.44709460649490357,True,evaluated,True,True,True,True,False,0.052200000000000024,0.04416666666666669,0.0,0.0,0.4879,0.5033333333333334,,,,,,,,,,,,,,,,,"[""optimized:0"", ""global:0""]",2.0,18.0,,,,
fashion_mnist_cnn_confirmatory_N3_S7607,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7607,5,12000,0,0.2,16,0.8382999999999999,0.8418,206922,1218048,0.5670709808667501,0.09877190771437011,0.1695601851851852,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.75,0.9270248108869579,0.7947105306911685,ensemble_upper_bound,0.8666666666666667,0.39259848594665525,0.8514,0.4186658375263214,True,evaluated,False,False,False,False,True,0.06180000000000008,0.05500000000000005,0.009600000000000053,0.010833333333333361,0.49750000000000005,0.5141666666666667,,,,,,,,,,,,,,,,,,,,,,,
