seed,dataset,architecture,n_models,width,defect_family,inconsistency_level,level_order,n_planted_swaps,corrupted_edge,base_accuracy,base_loss,copy_accuracy_std,max_logit_disagreement,true_cycle_score,planted_cycle_score,sync_disagreement,baseline,loss,accuracy,merge_degradation,uses_planted_alignment,is_single_model,capacity_matched_to_weight_average,method_note
1201,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,ensemble_upper_bound,0.5493368759155274,0.867,0.0,False,False,False,ensemble of equivalent copies
1201,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,oracle_true_alignment,0.5493368606567383,0.867,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,weight_average,1.5602831573486329,0.541,0.32599999999999996,False,True,True,"single model, no alignment observations"
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,git_rebasin_pairwise,0.5870615768432618,0.863,0.0040000000000000036,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,c2m3_cycle_consistent,0.5493368835449218,0.867,0.0,True,True,True,"single model, synchronized pairwise maps"
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,twisted_rank_lift_2,0.5493368835449218,0.867,0.0,True,False,False,branch ensemble / extra capacity
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,ensemble_upper_bound,0.5493368759155274,0.867,0.0,False,False,False,ensemble of equivalent copies
1201,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.23385358667337133,0.02734375,oracle_true_alignment,0.5493368606567383,0.867,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,weight_average,1.5602831573486329,0.541,0.32599999999999996,False,True,True,"single model, no alignment observations"
1201,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.385275875185561,0.07421875,git_rebasin_pairwise,0.6981728134155274,0.85,0.017000000000000015,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
