summary_type,scope,dataset,task_preset,architecture,width,n_tasks,n_runs,n_unique_seeds,mean_sign_conflict_fraction,mean_active_fraction,mean_pairwise_task_vector_cosine,mean_min_pairwise_task_vector_cosine,mean_delta_norm,mean_pairwise_delta_distance,mean_greedy_soup_accepted_count,mean_task_arithmetic_selected_scale,mean_ties_selected_density,mean_ties_selected_scale,mean_dare_selected_drop_rate,mean_dare_selected_scale,mean_triangle_cycle_score,mean_sync_disagreement,delta_norm_availability_fraction,mean_task_arithmetic_delta_vs_greedy,task_arithmetic_delta_vs_greedy_ci_low,task_arithmetic_delta_vs_greedy_ci_high,mean_ties_delta_vs_greedy,ties_delta_vs_greedy_ci_low,ties_delta_vs_greedy_ci_high,mean_dare_delta_vs_greedy,dare_delta_vs_greedy_ci_low,dare_delta_vs_greedy_ci_high,mean_best_generated_delta_vs_greedy,best_generated_delta_vs_greedy_ci_low,best_generated_delta_vs_greedy_ci_high,mean_best_generated_worst_task_delta_vs_greedy,best_generated_worst_task_delta_vs_greedy_ci_low,best_generated_worst_task_delta_vs_greedy_ci_high,best_generated_candidate_family_mode,best_generated_candidate_family_mode_count,candidate_family,win_count,win_fraction,claim_boundary,target,predictor,predictor_role,n_rows,predictor_unique_values,target_unique_values,pearson,spearman,triangle_cycle_unique_values,sync_disagreement_unique_values,claim_decision
winner_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,7.0,0.35,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_digit_subsets,mlp2,64,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,18.0,0.9,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_digit_subsets,mlp2,64,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,2.0,0.1,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_digit_subsets,mlp2,128,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,19.0,0.95,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_digit_subsets,mlp2,128,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,1.0,0.05,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight_average,8.0,0.4,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,6.0,0.3,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,4.0,0.2,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slerp_sequential,1.0,0.05,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,1.0,0.05,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,128,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,7.0,0.35,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,128,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,7.0,0.35,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,128,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight_average,4.0,0.2,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,mnist,mnist_four_subsets,mlp2,128,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ties_merging,2.0,0.1,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_sign_conflict_fraction,task_vector_interference,120.0,120.0,93.0,-0.7501665435155306,-0.6208839629888775,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_active_fraction,task_vector_interference,120.0,119.0,93.0,-0.0849050567603307,-0.09912934054610398,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_mean_pairwise_cosine,task_vector_interference,120.0,120.0,93.0,-0.1426372657364615,-0.1799459043643161,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_min_pairwise_cosine,task_vector_interference,120.0,90.0,93.0,0.046129544616759596,0.07993587989143433,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_mean_delta_norm,delta_norm,120.0,120.0,93.0,0.18795199446495592,0.10925908030036036,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_min_delta_norm,delta_norm,120.0,82.0,93.0,0.21101539300531608,0.16595997978891178,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_max_delta_norm,delta_norm,120.0,100.0,93.0,0.12495410347210058,0.07390432467620356,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_std_delta_norm,delta_norm,120.0,120.0,93.0,-0.04109577118775681,-0.03965027638004738,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_delta_norm_cv,delta_norm,120.0,120.0,93.0,-0.07920666985626348,-0.0628381419213696,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_merged_delta_norm,delta_norm,120.0,120.0,93.0,0.6150338587564207,0.5560949523559479,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_vector_mean_pairwise_delta_distance,delta_norm,120.0,120.0,93.0,0.20757159803091846,0.16641501281943236,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,greedy_soup_accepted_count,selector_behavior,120.0,4.0,93.0,-0.5970483089247123,-0.6478051160344451,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,task_arithmetic_selected_scale,selector_behavior,120.0,5.0,93.0,-0.7298551533613612,-0.7375653877386003,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,ties_selected_density,selector_behavior,120.0,3.0,93.0,-0.5362418053468512,-0.5576383958479247,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive only; predictor or target has no usable variance,task_arithmetic_delta_vs_greedy,ties_selected_scale,selector_behavior,120.0,1.0,93.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,dare_selected_drop_rate,selector_behavior,120.0,3.0,93.0,0.1828994616808185,0.17717496927425694,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,task_arithmetic_delta_vs_greedy,dare_selected_scale,selector_behavior,120.0,3.0,93.0,-0.60790814055729,-0.6619556163908121,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,task_arithmetic_delta_vs_greedy,triangle_cycle_score,secondary_rebasin_cycle,120.0,1.0,93.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,task_arithmetic_delta_vs_greedy,sync_disagreement,secondary_rebasin_cycle,120.0,1.0,93.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_sign_conflict_fraction,task_vector_interference,120.0,120.0,108.0,-0.4831375063812798,-0.549810398445321,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_active_fraction,task_vector_interference,120.0,119.0,108.0,-0.26100036585371844,-0.30275218217625205,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_mean_pairwise_cosine,task_vector_interference,120.0,120.0,108.0,-0.5200218756548716,-0.4625519149479798,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_min_pairwise_cosine,task_vector_interference,120.0,90.0,108.0,-0.47603303058085095,-0.35223661876588885,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_mean_delta_norm,delta_norm,120.0,120.0,108.0,0.021130668406558577,0.12431069692127583,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_min_delta_norm,delta_norm,120.0,82.0,108.0,0.32424610503113827,0.3116393997127191,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_max_delta_norm,delta_norm,120.0,100.0,108.0,-0.3648318735357201,-0.2593345649835783,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_std_delta_norm,delta_norm,120.0,120.0,108.0,-0.645839216754709,-0.5480845362080486,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_delta_norm_cv,delta_norm,120.0,120.0,108.0,-0.6289134993312709,-0.5538073148137324,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_merged_delta_norm,delta_norm,120.0,120.0,108.0,-0.16059651291890004,0.08474435017785394,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_vector_mean_pairwise_delta_distance,delta_norm,120.0,120.0,108.0,0.03872926318566399,0.16220674238476213,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,greedy_soup_accepted_count,selector_behavior,120.0,4.0,108.0,0.1505986900927476,-0.05083918024162535,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,task_arithmetic_selected_scale,selector_behavior,120.0,5.0,108.0,-0.070893698594713,-0.3073305432684274,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,ties_selected_density,selector_behavior,120.0,3.0,108.0,-0.25886925548685535,-0.3608477434359064,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive only; predictor or target has no usable variance,ties_delta_vs_greedy,ties_selected_scale,selector_behavior,120.0,1.0,108.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,dare_selected_drop_rate,selector_behavior,120.0,3.0,108.0,-0.03358682574846634,0.043543908695996794,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,ties_delta_vs_greedy,dare_selected_scale,selector_behavior,120.0,3.0,108.0,0.06993587336560568,-0.08057654573298405,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,ties_delta_vs_greedy,triangle_cycle_score,secondary_rebasin_cycle,120.0,1.0,108.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,ties_delta_vs_greedy,sync_disagreement,secondary_rebasin_cycle,120.0,1.0,108.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_sign_conflict_fraction,task_vector_interference,120.0,120.0,99.0,-0.6924984304635715,-0.5979237174782788,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_active_fraction,task_vector_interference,120.0,119.0,99.0,-0.020050904628182653,-0.05131161322884211,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_mean_pairwise_cosine,task_vector_interference,120.0,120.0,99.0,-0.08752609888409453,-0.12575421113148247,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_min_pairwise_cosine,task_vector_interference,120.0,90.0,99.0,0.12010931986403398,0.11197198139421903,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_mean_delta_norm,delta_norm,120.0,120.0,99.0,0.19189116620788962,0.13141111914609557,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_min_delta_norm,delta_norm,120.0,82.0,99.0,0.16361300500601408,0.166874169800972,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_max_delta_norm,delta_norm,120.0,100.0,99.0,0.1918656702900706,0.12224936753502809,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_std_delta_norm,delta_norm,120.0,120.0,99.0,0.06696318627987762,0.011817346822423847,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_delta_norm_cv,delta_norm,120.0,120.0,99.0,0.024284875465790657,-0.015349007627127063,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_merged_delta_norm,delta_norm,120.0,120.0,99.0,0.6442882154299047,0.5921313770434264,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_vector_mean_pairwise_delta_distance,delta_norm,120.0,120.0,99.0,0.21217512232079863,0.1836012177044876,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,greedy_soup_accepted_count,selector_behavior,120.0,4.0,99.0,-0.6332252409641772,-0.6630765200765182,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,task_arithmetic_selected_scale,selector_behavior,120.0,5.0,99.0,-0.7327961173751623,-0.7206466061348538,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,ties_selected_density,selector_behavior,120.0,3.0,99.0,-0.5281384420692757,-0.5353040714119018,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive only; predictor or target has no usable variance,dare_delta_vs_greedy,ties_selected_scale,selector_behavior,120.0,1.0,99.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,dare_selected_drop_rate,selector_behavior,120.0,3.0,99.0,0.18779485810223154,0.17228154712295396,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,dare_delta_vs_greedy,dare_selected_scale,selector_behavior,120.0,3.0,99.0,-0.6474289693819092,-0.6752785374107834,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,dare_delta_vs_greedy,triangle_cycle_score,secondary_rebasin_cycle,120.0,1.0,99.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary cycle diagnostic has no variance in same-base regime,dare_delta_vs_greedy,sync_disagreement,secondary_rebasin_cycle,120.0,1.0,99.0,,,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,best_generated_delta_vs_greedy,task_vector_sign_conflict_fraction,task_vector_interference,120.0,120.0,87.0,-0.7373388524359857,-0.6139198884373083,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,best_generated_delta_vs_greedy,task_vector_active_fraction,task_vector_interference,120.0,119.0,87.0,-0.0438158091574054,-0.08860815188099903,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,best_generated_delta_vs_greedy,task_vector_mean_pairwise_cosine,task_vector_interference,120.0,120.0,87.0,-0.1333364148855233,-0.15408680474894182,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,best_generated_delta_vs_greedy,task_vector_min_pairwise_cosine,task_vector_interference,120.0,90.0,87.0,0.0771019981963884,0.11861153074776766,,,
association,overall,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descriptive association; same-base task-vector regime only,best_generated_delta_vs_greedy,task_vector_mean_delta_norm,delta_norm,120.0,120.0,87.0,0.1891293644079865,0.1263429033228871,,,
