candidate_id,run_id,class_status,estimated_period,bootstrap_samples,bootstrap_detection_rate,bootstrap_same_class_rate,bootstrap_same_period_rate,bootstrap_coboundary_disagreement_rate,certification_floor,bootstrap_gate_passed,diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4227:0-1-2:55,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4227,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4228:0-1-2:56,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4228,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4228:0-1-2:57,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4228,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4229:0-1-2:58,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4229,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4229:0-1-2:59,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4229,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4200:0-1-2:60,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4200,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4200:0-1-2:61,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4200,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4201:0-1-2:62,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4201,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4201:0-1-2:63,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4201,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4202:0-1-2:64,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4202,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4202:0-1-2:65,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4202,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4203:0-1-2:66,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4203,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4203:0-1-2:67,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4203,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4204:0-1-2:68,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4204,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4204:0-1-2:69,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4204,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4205:0-1-2:70,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4205,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4205:0-1-2:71,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4205,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4206:0-1-2:72,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4206,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4206:0-1-2:73,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4206,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4207:0-1-2:74,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4207,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4207:0-1-2:75,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4207,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4208:0-1-2:76,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4208,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4208:0-1-2:77,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4208,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4209:0-1-2:78,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4209,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4209:0-1-2:79,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4209,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4210:0-1-2:80,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4210,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4210:0-1-2:81,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4210,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4211:0-1-2:82,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4211,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4211:0-1-2:83,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4211,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4212:0-1-2:84,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4212,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4212:0-1-2:85,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4212,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
