dataset,architecture,n_models,width,domain_shift,matching,method,n_rows,n_unique_seeds,mean_val_midpoint_loss_barrier,mean_val_max_loss_barrier,mean_val_accuracy_drop_barrier_t05,mean_test_max_loss_barrier,pearson_cycle_vs_val_max_loss_barrier,pearson_ci_low,pearson_ci_high,claim_status,claim_supported
mnist,mlp2,3,128,input_noise,activation,weight_average,30,30,-0.23962445532282192,0.052976610884070394,-0.2001953125,0.060866433878739676,0.08920093177237166,-0.2141074034688986,0.4361161150867038,descriptive_barrier_target,False
mnist,mlp2,3,128,none,activation,c2m3_synchronized,30,30,-0.0007051131377617518,0.01150421282897393,-0.005143229166666667,0.006373529074092706,0.013722832218853169,-0.26136233043112644,0.3414032727754491,descriptive_barrier_target,False
mnist,mlp2,3,128,none,activation,git_rebasin_pairwise_ref0,30,30,-0.00023936927318572997,0.011594654122988383,-0.00390625,0.007026698129872481,-0.022969055616079544,-0.27643015753908057,0.30030019305013983,descriptive_barrier_target,False
mnist,mlp2,3,128,none,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
mnist,mlp2,3,128,none,activation,monomial_shrinkage,30,30,0.0019496212402979533,0.01134245383242766,-0.002864583333333333,0.005816708070536455,-0.06912824360971291,-0.31377124552105473,0.26231829214527735,descriptive_barrier_target,False
mnist,mlp2,3,128,none,activation,weight_average,30,30,-0.24050570987164974,0.06776942914972703,-0.21373697916666667,0.06853470845768848,-0.031189342976238463,-0.3425912352850851,0.28840625398250763,descriptive_barrier_target,False
mnist,mlp2,4,128,input_noise,activation,c2m3_synchronized,30,30,-0.0031879653533299765,0.013340716374417146,-0.004427083333333333,0.009560589771717786,-0.12277083036541625,-0.45197822934703275,0.2043827319011161,descriptive_barrier_target,False
mnist,mlp2,4,128,input_noise,activation,git_rebasin_pairwise_ref0,30,30,-0.017203836143016814,5.596466362476349e-05,-0.007356770833333333,0.0,-0.24654311560856146,-0.4698620706776315,-0.1238562159949839,descriptive_barrier_target,False
mnist,mlp2,4,128,input_noise,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
mnist,mlp2,4,128,input_noise,activation,monomial_shrinkage,30,30,-0.014806813249985376,0.0002896680807073911,-0.004231770833333333,0.0,-0.06832442932051105,-0.30831712745105033,0.11910810365716643,descriptive_barrier_target,False
mnist,mlp2,4,128,input_noise,activation,weight_average,30,30,-0.23030477116505305,0.12274320945143699,-0.2542317708333333,0.12611933626855412,-0.0024924198611463075,-0.39365371044885467,0.41344698191766155,descriptive_barrier_target,False
mnist,mlp2,4,128,none,activation,c2m3_synchronized,30,30,0.00046396180987358094,0.01626364861925443,-0.002734375,0.009816200255105894,0.02683084796682479,-0.31297624694298876,0.35151380276191646,descriptive_barrier_target,False
mnist,mlp2,4,128,none,activation,git_rebasin_pairwise_ref0,30,30,-0.0012772987286249796,0.01669403612613678,-0.0037109375,0.011897131334990263,0.16444436013172678,-0.25939673447313305,0.5225017181026032,descriptive_barrier_target,False
mnist,mlp2,4,128,none,activation,greedy_soup,30,30,0.0,0.0,0.0,0.0,,,,descriptive_barrier_target,False
mnist,mlp2,4,128,none,activation,monomial_shrinkage,30,30,0.0009065880129734675,0.015392256962756316,-0.000390625,0.009510434077431759,0.16371564026467555,-0.2310637255976704,0.5375800967574415,descriptive_barrier_target,False
mnist,mlp2,4,128,none,activation,weight_average,30,30,-0.2242956396192312,0.1402756086861094,-0.20865885416666666,0.13975604775672157,0.2686541776711825,-0.12259363511719644,0.6104104209596446,descriptive_barrier_target,False
