setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,candidate_method,selector_method,selected_candidate_method,selected_primary_lift,selected_lift,selected_q_order,selected_depth,selected_prime_axis,selected_by_validation,control_gate_passed,selector_no_test_leakage,selector_epsilon,selector_epsilon_control,selector_loss_slack,pooling_threshold,lambda_branch,lambda_residual,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,residual_source,relation_set_id,aggregation_level,q_order,q_name,primary_type,primary_depth,prime_axis,is_prime_headline,is_depth_control,is_mixed_control,v_p_observed_order,eligible_by_observed_primary_depth,candidate_role,divides_primary_source,quotient_certified,relation_count,relation_count_status,relation_violation_rate,quotient_holonomy_nontrivial_rate,quotient_holonomy_entropy,quotient_assignment_confidence,pooling_residual_q,source_method,uses_validation_data,uses_test_data_for_selection,reason,implemented_real_lift,validation_accuracy,validation_loss,branch_count,capacity_multiplier,parameter_multiplier,inference_multiplier,is_single_model,is_extra_capacity,capacity_matched_to_same_branch_control,lift_implemented,unique_triangle_count,unique_holonomy_count,observed_holonomy_order_lcm,v2_observed_order,v3_observed_order,primary_source,group_closure_status,group_order_if_exact,group_exponent_if_exact,v2_group_order_if_exact,v3_group_order_if_exact,v2_group_exponent_if_exact,v3_group_exponent_if_exact,noncentral_holonomy_score,controlled_true_q,threshold_profile,activation_eligible_threshold_profile,relation_threshold,nontrivial_threshold,entropy_threshold,quotient_fit_status,assignment_strategy,quotient_status,naive_residual_q,naive_residual_q_max,pooling_residual_q_max,pooling_gate_passed,best_fallback_validation_accuracy,selection_score,best_random_same_branch_val_accuracy,best_wrong_prime_or_depth_val_accuracy
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4220,mnist,mlp,3.0,128.0,none,monomial_weight,4220.0,greedy_soup,0.9145,0.2951929712295532,0.9335,0.2116575136184692,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9335,0.2116575136184692,0.9145,0.2951929712295532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4221,mnist,mlp,3.0,128.0,none,monomial_weight,4221.0,greedy_soup,0.911,0.300237940788269,0.933,0.2158464555740356,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.933,0.2158464555740356,0.911,0.300237940788269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4222,mnist,mlp,3.0,128.0,none,monomial_weight,4222.0,greedy_soup,0.914,0.3004025945663452,0.9335,0.2205765762329101,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9335,0.2205765762329101,0.914,0.3004025945663452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4223,mnist,mlp,3.0,128.0,none,monomial_weight,4223.0,greedy_soup,0.9135,0.3021424350738525,0.934,0.220640525817871,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.934,0.220640525817871,0.9135,0.3021424350738525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4224,mnist,mlp,3.0,128.0,none,monomial_weight,4224.0,greedy_soup,0.915,0.3011586036682129,0.9335,0.222576771736145,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9335,0.222576771736145,0.915,0.3011586036682129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4225,mnist,mlp,3.0,128.0,none,monomial_weight,4225.0,greedy_soup,0.9095,0.3065953903198242,0.9335,0.2264001998901367,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9335,0.2264001998901367,0.9095,0.3065953903198242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4226,mnist,mlp,3.0,128.0,none,monomial_weight,4226.0,greedy_soup,0.917,0.2936333417892456,0.9345,0.2114708366394043,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9345,0.2114708366394043,0.917,0.2936333417892456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4227,mnist,mlp,3.0,128.0,none,monomial_weight,4227.0,greedy_soup,0.9135,0.2966271123886108,0.935,0.2134175462722778,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.935,0.2134175462722778,0.9135,0.2966271123886108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4228,mnist,mlp,3.0,128.0,none,monomial_weight,4228.0,greedy_soup,0.913,0.2966047801971435,0.9345,0.2196048860549926,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9345,0.2196048860549926,0.913,0.2966047801971435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4229,mnist,mlp,3.0,128.0,none,monomial_weight,4229.0,greedy_soup,0.9155,0.2945040874481201,0.9365,0.2130575304031372,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9365,0.2130575304031372,0.9155,0.2945040874481201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4200.0,greedy_soup,0.9,0.3427259674072265,0.9225,0.2683700819015503,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9225,0.2683700819015503,0.9,0.3427259674072265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4201.0,greedy_soup,0.9,0.3564757423400879,0.9155,0.2825649557113647,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9155,0.2825649557113647,0.9,0.3564757423400879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4202.0,greedy_soup,0.9005,0.3446809740066528,0.9185,0.27204771900177,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9185,0.27204771900177,0.9005,0.3446809740066528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4203.0,greedy_soup,0.9035,0.3462098636627197,0.9185,0.2711736879348755,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9185,0.2711736879348755,0.9035,0.3462098636627197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4204.0,greedy_soup,0.8995,0.3518521575927734,0.912,0.2756653156280517,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.912,0.2756653156280517,0.8995,0.3518521575927734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4205.0,greedy_soup,0.9015,0.3463139705657959,0.92,0.2736353588104248,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.92,0.2736353588104248,0.9015,0.3463139705657959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4206.0,greedy_soup,0.9035,0.3466039972305297,0.9195,0.2682592725753784,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9195,0.2682592725753784,0.9035,0.3466039972305297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4207.0,greedy_soup,0.903,0.344628830909729,0.919,0.2689922285079956,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.919,0.2689922285079956,0.903,0.344628830909729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4208.0,greedy_soup,0.8995,0.3447891817092895,0.919,0.2724513597488403,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.919,0.2724513597488403,0.8995,0.3447891817092895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4209.0,greedy_soup,0.901,0.3443786973953247,0.9205,0.2664034872055054,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9205,0.2664034872055054,0.901,0.3443786973953247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4210.0,greedy_soup,0.901,0.3444574556350708,0.917,0.2710306825637817,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.917,0.2710306825637817,0.901,0.3444574556350708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4211.0,greedy_soup,0.902,0.3379506902694702,0.9205,0.2654149551391601,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9205,0.2654149551391601,0.902,0.3379506902694702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4212.0,greedy_soup,0.899,0.3468780193328857,0.9205,0.2679523887634277,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9205,0.2679523887634277,0.899,0.3468780193328857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4213.0,greedy_soup,0.9005,0.3483092660903931,0.918,0.2752531986236572,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.918,0.2752531986236572,0.9005,0.3483092660903931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4214.0,greedy_soup,0.903,0.3374147882461548,0.9245,0.2636285438537598,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9245,0.2636285438537598,0.903,0.3374147882461548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4215.0,greedy_soup,0.904,0.3363041114807129,0.9235,0.2604943313598633,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9235,0.2604943313598633,0.904,0.3363041114807129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4216.0,greedy_soup,0.9045,0.3464299573898315,0.918,0.2719768257141113,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.918,0.2719768257141113,0.9045,0.3464299573898315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4217.0,greedy_soup,0.9025,0.3434345760345459,0.9225,0.2669710741043091,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9225,0.2669710741043091,0.9025,0.3434345760345459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4218,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4218.0,greedy_soup,0.903,0.3444978618621826,0.917,0.2700440464019775,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.917,0.2700440464019775,0.903,0.3444978618621826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4219,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4219.0,greedy_soup,0.902,0.3456807317733764,0.919,0.2702550230026245,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.919,0.2702550230026245,0.902,0.3456807317733764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4220,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4220.0,greedy_soup,0.905,0.3456932611465454,0.9215,0.2693482990264892,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9215,0.2693482990264892,0.905,0.3456932611465454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4221,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4221.0,greedy_soup,0.903,0.3408288717269897,0.9195,0.2671323499679565,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9195,0.2671323499679565,0.903,0.3408288717269897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W64_input_noise_monomial_activation,mnist_mlp_N3_W64_input_noise_monomial_activation_seed4222,mnist,mlp,3.0,64.0,input_noise,monomial_activation,4222.0,greedy_soup,0.901,0.3474509391784668,0.917,0.2716291189193726,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.917,0.2716291189193726,0.901,0.3474509391784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
