setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,candidate_method,selector_method,selected_candidate_method,selected_primary_lift,selected_lift,selected_q_order,selected_depth,selector_no_test_leakage,selector_epsilon,selector_epsilon_control,selector_loss_slack,pooling_threshold,lambda_branch,lambda_residual,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,relation_set_id,aggregation_level,q_order,q_name,primary_type,primary_depth,candidate_role,divides_primary_source,quotient_certified,relation_count,relation_count_status,relation_violation_rate,quotient_holonomy_nontrivial_rate,quotient_holonomy_entropy,quotient_assignment_confidence,pooling_residual_q,source_method,uses_validation_data,uses_test_data_for_selection,reason,validation_accuracy,validation_loss,branch_count,parameter_multiplier,inference_multiplier,is_single_model,is_extra_capacity,capacity_matched_to_same_branch_control,lift_implemented,residual_source,unique_triangle_count,unique_holonomy_count,observed_holonomy_order_lcm,v2_observed_order,v3_observed_order,primary_source,group_closure_status,group_order_if_exact,group_exponent_if_exact,v2_group_order_if_exact,v3_group_order_if_exact,v2_group_exponent_if_exact,v3_group_exponent_if_exact,noncentral_holonomy_score,controlled_true_q,threshold_profile,activation_eligible_threshold_profile,relation_threshold,nontrivial_threshold,entropy_threshold,quotient_fit_status,assignment_strategy,quotient_status,naive_residual_q,naive_residual_q_max,pooling_residual_q_max,pooling_gate_passed,best_fallback_validation_accuracy,selection_score,best_random_same_branch_val_accuracy
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4217.0,greedy_soup,0.8135,0.5239915447235107,0.8425,0.4767786674499512,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8425,0.4767786674499512,0.8135,0.5239915447235107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4218,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4218.0,greedy_soup,0.8165,0.5306395130157471,0.8455,0.4813239727020263,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8455,0.4813239727020263,0.8165,0.5306395130157471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4219,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4219.0,greedy_soup,0.8165,0.5299438819885254,0.84,0.4820697002410888,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.84,0.4820697002410888,0.8165,0.5299438819885254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4200.0,greedy_soup,0.8225,0.5141376857757568,0.8465,0.4705034790039062,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8465,0.4705034790039062,0.8225,0.5141376857757568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4201.0,greedy_soup,0.8235,0.5161054515838623,0.85,0.4699158344268799,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.85,0.4699158344268799,0.8235,0.5161054515838623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4202.0,greedy_soup,0.8245,0.5088497352600098,0.848,0.4648535766601562,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.848,0.4648535766601562,0.8245,0.5088497352600098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4203.0,greedy_soup,0.8245,0.5122599945068359,0.849,0.4646896591186523,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.849,0.4646896591186523,0.8245,0.5122599945068359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4204.0,greedy_soup,0.824,0.5151768341064453,0.849,0.4749413986206054,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.849,0.4749413986206054,0.824,0.5151768341064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4205.0,greedy_soup,0.822,0.5184000587463379,0.8515,0.4712280540466309,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8515,0.4712280540466309,0.822,0.5184000587463379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,fashion_mnist,mlp,3.0,64.0,none,monomial_activation,4206.0,greedy_soup,0.824,0.5118655433654785,0.8475,0.4682785587310791,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8475,0.4682785587310791,0.824,0.5118655433654785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
