dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,n_rows,n_unique_seeds,mean_cycle_score,std_cycle_score,mean_weight_merge_degradation,std_weight_merge_degradation,pearson_cycle_vs_weight_degradation,pearson_ci_low,pearson_ci_high,spearman_cycle_vs_weight_degradation,spearman_ci_low,spearman_ci_high,partial_pearson_control_mean_acc_alignment_residual,regression_cycle_beta_control_mean_acc_alignment_residual,mean_individual_accuracy,mean_pairwise_alignment_residual,claim_status,claim_supported,primary_evidence,method,mean_test_accuracy,std_test_accuracy,mean_delta_vs_weight_average,mean_delta_vs_greedy_soup,mean_delta_vs_c2m3_synchronized
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,ensemble_upper_bound,0.8327000000000001,0.0015737063652848226,0.5585466666666666,0.0006133333333333432,0.04294666666666661
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,git_rebasin_pairwise_ref0,0.7909733333333334,0.013467993561578224,0.51682,-0.041113333333333266,0.0012199999999999967
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,greedy_soup,0.8320866666666668,0.0023952155375381846,0.5579333333333334,0.0,0.04233333333333327
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,random_branch_ensemble_2,0.8259266666666666,0.003165540029467464,0.5517733333333332,-0.006159999999999954,0.03617333333333327
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,twisted_rank_lift_2,0.8259066666666668,0.0034695655430429847,0.5517533333333333,-0.006179999999999958,0.03615333333333327
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,validation_branch_ensemble_2,0.8325733333333333,0.002223841555589743,0.55842,0.0004866666666666666,0.042819999999999955
fashion_mnist,mlp2,3,128,none,activation,observed,0.0,fashion_mnist_mlp2_N3_W128_none_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,True,weight_average,0.27415333333333336,0.05522165200874303,0.0,-0.5579333333333334,-0.5155999999999998
fashion_mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_input_noise_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,c2m3_cluster_branch_ensemble_2,0.8001333333333333,0.021710085584629873,0.5144533333333332,-0.02640666666666661,0.1192666666666666
fashion_mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_input_noise_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,c2m3_synchronized,0.6808666666666666,0.05423456928700666,0.39518666666666663,-0.1456733333333333,0.0
fashion_mnist,mlp2,4,128,input_noise,activation,injected_noise,0.15,fashion_mnist_mlp2_N4_W128_input_noise_activation,30,30,,,,,,,,,,,,,,,method_summary_not_obstruction_correlation,False,False,ensemble_upper_bound,0.8140066666666665,0.0019507617138871068,0.5283266666666667,-0.012533333333333275,0.13313999999999995
