setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,selector,selector_fold,selected_method,selection_reason,selected_val_accuracy,selected_val_loss,selected_test_accuracy,selected_test_loss,greedy_val_accuracy,greedy_test_accuracy,greedy_test_loss,single_best_val_accuracy,single_best_test_accuracy,single_best_test_loss,paired_delta_vs_greedy_soup,paired_delta_vs_single_best_model,paired_loss_delta_vs_greedy_soup,paired_loss_delta_vs_single_best_model,selected_is_single_model,selected_is_extra_capacity,selected_is_no_merge,selected_is_soup,selected_exact_relu_symmetry,selected_parameter_count_multiplier,selected_inference_time_multiplier,false_challenger,is_challenger_selection,validation_safe,test_used_for_selection,mean_cycle_score,max_cycle_score,nonidentity_triangle_fraction,sync_disagreement,pairwise_alignment_residual_mean,activation_assignment_similarity_mean,combined_obstruction_score,monomial_defect_score,linear_mode_connectivity_barrier,c2m3_barrier_delta_vs_git_rebasin,c2m3_barrier_delta_vs_weight_average,monomial_barrier_delta_vs_c2m3
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3020,fashion_mnist,mlp2,3,128,input_noise,activation,3020,greedy_baseline_selector,0,greedy_soup,fixed_greedy_boundary,0.858,0.429323335647583,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8970437559004577,0.8970437559004577,1.0,0.2161458333333333,0.2930363019307454,0.7132708344634011,0.6563861800717471,,0.0114157013595104,-0.0114157013595104,-0.0114157013595104,0.0114157013595104
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3020,fashion_mnist,mlp2,3,128,input_noise,activation,3020,best_validation_selector,0,greedy_soup,best_validation_accuracy_no_test,0.858,0.429323335647583,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8970437559004577,0.8970437559004577,1.0,0.2161458333333333,0.2930363019307454,0.7132708344634011,0.6563861800717471,,0.0114157013595104,-0.0114157013595104,-0.0114157013595104,0.0114157013595104
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3020,fashion_mnist,mlp2,3,128,input_noise,activation,3020,obstruction_rule_selector,0,greedy_soup,default_greedy_boundary,0.858,0.429323335647583,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8970437559004577,0.8970437559004577,1.0,0.2161458333333333,0.2930363019307454,0.7132708344634011,0.6563861800717471,,0.0114157013595104,-0.0114157013595104,-0.0114157013595104,0.0114157013595104
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3020,fashion_mnist,mlp2,3,128,input_noise,activation,3020,logistic_or_tree_selector,0,greedy_soup,logistic_score=0.467729,0.858,0.429323335647583,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8970437559004577,0.8970437559004577,1.0,0.2161458333333333,0.2930363019307454,0.7132708344634011,0.6563861800717471,,0.0114157013595104,-0.0114157013595104,-0.0114157013595104,0.0114157013595104
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3020,fashion_mnist,mlp2,3,128,input_noise,activation,3020,conservative_lcb_selector,0,greedy_soup,no_positive_validation_lcb,0.858,0.429323335647583,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.858,0.829,0.4903893682956695,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8970437559004577,0.8970437559004577,1.0,0.2161458333333333,0.2930363019307454,0.7132708344634011,0.6563861800717471,,0.0114157013595104,-0.0114157013595104,-0.0114157013595104,0.0114157013595104
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3025,fashion_mnist,mlp2,3,128,input_noise,activation,3025,greedy_baseline_selector,0,greedy_soup,fixed_greedy_boundary,0.854,0.4264058170318603,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8926785535678563,0.8926785535678563,1.0,0.2135416666666666,0.2828524708747864,0.7204672383219682,0.6510736262561831,,0.0073126256465911,-0.0073126256465911,0.1224923431873321,0.0073126256465911
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3025,fashion_mnist,mlp2,3,128,input_noise,activation,3025,best_validation_selector,0,greedy_soup,best_validation_accuracy_no_test,0.854,0.4264058170318603,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8926785535678563,0.8926785535678563,1.0,0.2135416666666666,0.2828524708747864,0.7204672383219682,0.6510736262561831,,0.0073126256465911,-0.0073126256465911,0.1224923431873321,0.0073126256465911
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3025,fashion_mnist,mlp2,3,128,input_noise,activation,3025,obstruction_rule_selector,0,greedy_soup,default_greedy_boundary,0.854,0.4264058170318603,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8926785535678563,0.8926785535678563,1.0,0.2135416666666666,0.2828524708747864,0.7204672383219682,0.6510736262561831,,0.0073126256465911,-0.0073126256465911,0.1224923431873321,0.0073126256465911
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3025,fashion_mnist,mlp2,3,128,input_noise,activation,3025,logistic_or_tree_selector,0,greedy_soup,logistic_score=0.467055,0.854,0.4264058170318603,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8926785535678563,0.8926785535678563,1.0,0.2135416666666666,0.2828524708747864,0.7204672383219682,0.6510736262561831,,0.0073126256465911,-0.0073126256465911,0.1224923431873321,0.0073126256465911
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3025,fashion_mnist,mlp2,3,128,input_noise,activation,3025,conservative_lcb_selector,0,greedy_soup,no_positive_validation_lcb,0.854,0.4264058170318603,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.854,0.8266,0.4873993461608886,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.8926785535678563,0.8926785535678563,1.0,0.2135416666666666,0.2828524708747864,0.7204672383219682,0.6510736262561831,,0.0073126256465911,-0.0073126256465911,0.1224923431873321,0.0073126256465911
