source,diagnostic_level,partition_method,block_size,n_rows,mean_cycle_score,mean_centrality_score,fraction_central_projective_candidates,mean_pairwise_feature_alignment_residual,mean_global_feature_alignment_residual,mean_global_sync_residual,fraction_accepted_global_sync,mean_improvement_permutation_to_pairwise_block,mean_improvement_permutation_to_global_block,mean_improvement_pairwise_block_to_global_block,mean_c2m3_accuracy,mean_monomial_accuracy,mean_greedy_soup_accuracy,mean_ensemble_accuracy
real_mnist,monomial_positive_scale,none,0,100,0.9924070306311441,0.4057862964093693,0.0,,,,0.0,,,,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,activation_correlation,2,100,0.683558497904259,0.6294654360794398,0.0,0.7526637599453753,0.7623084285838925,0.12845227199982062,0.71,0.3171163515037774,0.9465817875832166,0.6294654360794394,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,activation_correlation,4,100,0.8133966837068595,0.7368909977932124,0.0,0.688168057207975,0.7020436656006988,0.24347132799246132,0.05,0.20969078979000497,0.946581787583216,0.7368909977932111,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,activation_correlation,8,100,0.7205084448040886,0.668272580961817,0.0,0.5742676525061197,0.5831907887263879,0.25071991804984267,0.03,0.2783092066214005,0.9465817875832152,0.668272580961815,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,contiguous,2,100,0.5506231445773707,0.5155169212454304,0.0,0.7525948977321704,0.7612338791036494,0.1015563188918613,0.81,0.431064866337787,0.9465817875832166,0.5155169212454299,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,contiguous,4,100,0.7055035029421701,0.6536904622449624,0.0,0.6852221720805838,0.698305542613988,0.20482608538174168,0.19,0.29289132533825485,0.9465817875832159,0.6536904622449613,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,contiguous,8,100,0.676752405754518,0.6333631081551735,0.0,0.5669850431246275,0.5745980262866206,0.23070979332025005,0.06,0.31321867942804393,0.9465817875832154,0.6333631081551718,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,output_weight_similarity,2,100,0.586470468701022,0.5477825110156995,0.0,0.7565125372171306,0.7649287448902542,0.10906587044802546,0.74,0.3987992765675179,0.9465817875832166,0.5477825110156991,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,output_weight_similarity,4,100,0.7433485514873941,0.682816562819863,0.0,0.6908317085801704,0.7048853006516541,0.21811167575286533,0.08,0.26376522476335434,0.9465817875832159,0.6828165628198619,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,pairwise_block_procrustes,output_weight_similarity,8,100,0.6938150722328796,0.646238932178214,0.0,0.5702857342095261,0.5776066871793365,0.24387292686628187,0.07,0.3003428554050033,0.9465817875832152,0.6462389321782124,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,permutation,none,0,100,1.1854418656044594,0.9465817875832175,0.0,,,,0.0,,,,0.65101,0.65851,0.7301200000000003,0.76546
synthetic,global_block_synchronization,contiguous,2,2,3.848035048663551e-16,3.041654129786666e-16,0.0,0.7131999169273273,0.7221256625433342,0.016664722298609748,1.0,,,,,,,
synthetic,pairwise_block_procrustes,contiguous,2,2,1.3894183423086506,0.3586780454497614,0.5,,,0.42344346581133396,0.0,,,,,,,
