dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,rank_method,baseline_method,comparison,branch_count,mean_delta,std_delta,bootstrap_ci_low,bootstrap_ci_high,n_paired_seeds,wins,ties,losses,baseline_ci_lower_positive,rank_lift_capacity_matched_claim_supported,claim_status
fashion_mnist,mlp,3,64,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.000883333333333336,0.002211581324306885,-0.0017337500000000087,-0.00019958333333333934,30,0,25,5,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.002783333333333341,0.006857770992713723,0.0003500000000000094,0.0051166666666666695,30,13,13,4,True,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.010449999999999963,0.00875465393475043,-0.013466666666666634,-0.007482916666666637,30,3,0,27,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,input_noise,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.00048333333333334304,0.0065251282631511994,-0.001999999999999987,0.002650000000000008,30,7,20,3,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0023999999999999985,0.0069659269254733315,-1.6666666666665017e-05,0.004834166666666666,30,15,9,6,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.011299999999999973,0.007596051605933161,-0.01380041666666663,-0.008648749999999972,30,3,0,27,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.0018999999999999944,0.004639411377646347,0.0003499999999999985,0.003733333333333318,30,5,24,1,True,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,128,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.00040000000000000403,0.006883764006453985,-0.0018837499999999924,0.002733749999999996,30,7,12,11,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.0055333333333333085,0.007161840128276261,-0.007983749999999972,-0.0029999999999999836,30,7,1,22,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,128,input_noise,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W128_input_noise_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.0008999999999999934,0.004497892226672235,-0.0005170833333333391,0.0025337499999999887,30,6,21,3,False,False,negative_control_not_primary_evidence
