source,setting_id,dataset,architecture,n_models,width,seed,triangle,i,j,k,matching,individual_accuracy_mean,single_best_accuracy,weight_average_accuracy,weight_merge_degradation,c2m3_accuracy,c2m3_merge_degradation,sync_disagreement,tmpp_classification,tmpp_selected_method,candidate_rank_width,rank_divisible_by_detected_order,cycle_score,centrality_score,scalar_trace_real,scalar_trace_imag,phase_real,phase_imag,phase_angle,finite_index_candidate_score,nearest_root_q,nearest_root_exponent,detected_order_d,nearest_root_phase_real,nearest_root_phase_imag,phase_residual,is_scalar_central_permutation,fixed_point_fraction,permutation_num_cycles,permutation_avg_cycle_length,permutation_max_cycle_length,interpretation,sync_reference,finite_index_candidate_strict,finite_index_candidate_medium,finite_index_candidate_loose
real_mnist,mnist_mlp_N4_W32_S1400,mnist,mlp,4,32,1400,0-1-3,0,1,3,activation,0.79275,0.807,0.543,0.264,0.745,0.062000000000000055,0.28515625,random_noncentral,best_validation_baseline,32,False,0.9519716382329886,0.9955957701296243,0.09375,0.0,1.0,0.0,0.0,0.9955957701296243,1,0,1,1.0,0.0,0.0,False,0.09375,6.0,5.333333333333333,17.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1400,mnist,mlp,4,32,1400,0-2-3,0,2,3,activation,0.79275,0.807,0.543,0.264,0.745,0.062000000000000055,0.28515625,random_noncentral,best_validation_baseline,32,False,0.8660254037844386,0.9682458365518541,0.25,0.0,1.0,0.0,0.0,0.9682458365518541,1,0,1,1.0,0.0,0.0,False,0.25,10.0,3.2,14.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1400,mnist,mlp,4,32,1400,1-2-3,1,2,3,activation,0.79275,0.807,0.543,0.264,0.745,0.062000000000000055,0.28515625,random_noncentral,best_validation_baseline,32,False,0.8838834764831844,0.9757809372497496,0.21875,0.0,1.0,0.0,0.0,0.9757809372497496,1,0,1,1.0,0.0,0.0,False,0.21875,10.0,3.2,21.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N3_W16_S1401,mnist,mlp,3,16,1401,0-1-2,0,1,2,activation,0.6353333333333334,0.722,0.357,0.365,0.637,0.08499999999999996,0.20833333333333334,edge_outlier_or_noise,c2m3_cycle_consistent,16,False,0.9682458365518541,0.998044963916957,0.0625,0.0,1.0,0.0,0.0,0.998044963916957,1,0,1,1.0,0.0,0.0,False,0.0625,4.0,4.0,8.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N3_W32_S1401,mnist,mlp,3,32,1401,0-1-2,0,1,2,activation,0.7879999999999999,0.804,0.62,0.18400000000000005,0.8,0.0040000000000000036,0.16666666666666666,edge_outlier_or_noise,c2m3_cycle_consistent,32,False,0.8660254037844386,0.9682458365518541,0.25,0.0,1.0,0.0,0.0,0.9682458365518541,1,0,1,1.0,0.0,0.0,False,0.25,12.0,2.6666666666666665,18.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1401,mnist,mlp,4,16,1401,0-1-2,0,1,2,activation,0.6527499999999999,0.711,0.424,0.287,0.471,0.24,0.234375,random_noncentral,best_validation_baseline,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,8.0,2.0,6.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1401,mnist,mlp,4,16,1401,0-1-3,0,1,3,activation,0.6527499999999999,0.711,0.424,0.287,0.471,0.24,0.234375,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,5.0,3.2,10.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1401,mnist,mlp,4,16,1401,0-2-3,0,2,3,activation,0.6527499999999999,0.711,0.424,0.287,0.471,0.24,0.234375,random_noncentral,best_validation_baseline,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,9.0,1.7777777777777777,5.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1401,mnist,mlp,4,16,1401,1-2-3,1,2,3,activation,0.6527499999999999,0.711,0.424,0.287,0.471,0.24,0.234375,random_noncentral,best_validation_baseline,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,8.0,2.0,8.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1401,mnist,mlp,4,32,1401,0-1-2,0,1,2,activation,0.781,0.786,0.683,0.10299999999999998,0.767,0.019000000000000017,0.2421875,random_noncentral,best_validation_baseline,32,False,0.7905694150420949,0.9270248108869578,0.375,0.0,1.0,0.0,0.0,0.9270248108869578,1,0,1,1.0,0.0,0.0,False,0.375,17.0,1.8823529411764706,12.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1401,mnist,mlp,4,32,1401,0-1-3,0,1,3,activation,0.781,0.786,0.683,0.10299999999999998,0.767,0.019000000000000017,0.2421875,random_noncentral,best_validation_baseline,32,False,0.8838834764831844,0.9757809372497496,0.21875,0.0,1.0,0.0,0.0,0.9757809372497496,1,0,1,1.0,0.0,0.0,False,0.21875,10.0,3.2,20.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1401,mnist,mlp,4,32,1401,0-2-3,0,2,3,activation,0.781,0.786,0.683,0.10299999999999998,0.767,0.019000000000000017,0.2421875,random_noncentral,best_validation_baseline,32,False,0.770551750371122,0.9137619698258402,0.40625,0.0,1.0,0.0,0.0,0.9137619698258402,1,0,1,1.0,0.0,0.0,False,0.40625,16.0,2.0,14.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1401,mnist,mlp,4,32,1401,1-2-3,1,2,3,activation,0.781,0.786,0.683,0.10299999999999998,0.767,0.019000000000000017,0.2421875,random_noncentral,best_validation_baseline,32,False,0.8477912478906585,0.9596345332990054,0.28125,0.0,1.0,0.0,0.0,0.9596345332990054,1,0,1,1.0,0.0,0.0,False,0.28125,11.0,2.909090909090909,21.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N3_W16_S1402,mnist,mlp,3,16,1402,0-1-2,0,1,2,activation,0.6409999999999999,0.711,0.388,0.32299999999999995,0.549,0.16199999999999992,0.1388888888888889,edge_outlier_or_noise,c2m3_cycle_consistent,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,8.0,2.0,6.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N3_W32_S1402,mnist,mlp,3,32,1402,0-1-2,0,1,2,activation,0.7796666666666666,0.786,0.684,0.10199999999999998,0.743,0.04300000000000004,0.1388888888888889,edge_outlier_or_noise,c2m3_cycle_consistent,32,False,0.7905694150420949,0.9270248108869578,0.375,0.0,1.0,0.0,0.0,0.9270248108869578,1,0,1,1.0,0.0,0.0,False,0.375,17.0,1.8823529411764706,12.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1402,mnist,mlp,4,16,1402,0-1-2,0,1,2,activation,0.63275,0.661,0.252,0.40900000000000003,0.536,0.125,0.265625,random_noncentral,best_validation_baseline,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,6.0,2.6666666666666665,9.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1402,mnist,mlp,4,16,1402,0-1-3,0,1,3,activation,0.63275,0.661,0.252,0.40900000000000003,0.536,0.125,0.265625,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,5.0,3.2,11.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1402,mnist,mlp,4,16,1402,0-2-3,0,2,3,activation,0.63275,0.661,0.252,0.40900000000000003,0.536,0.125,0.265625,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,5.0,3.2,11.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1402,mnist,mlp,4,16,1402,1-2-3,1,2,3,activation,0.63275,0.661,0.252,0.40900000000000003,0.536,0.125,0.265625,random_noncentral,best_validation_baseline,16,False,0.7499999999999999,0.899218410621135,0.4375,0.0,1.0,0.0,0.0,0.899218410621135,1,0,1,1.0,0.0,0.0,False,0.4375,10.0,1.6,4.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1402,mnist,mlp,4,32,1402,0-1-2,0,1,2,activation,0.7775,0.795,0.602,0.19300000000000006,0.736,0.05900000000000005,0.287109375,random_noncentral,best_validation_baseline,32,False,0.8838834764831844,0.9757809372497496,0.21875,0.0,1.0,0.0,0.0,0.9757809372497496,1,0,1,1.0,0.0,0.0,False,0.21875,11.0,2.909090909090909,17.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1402,mnist,mlp,4,32,1402,0-1-3,0,1,3,activation,0.7775,0.795,0.602,0.19300000000000006,0.736,0.05900000000000005,0.287109375,random_noncentral,best_validation_baseline,32,False,0.82915619758885,0.9499177595981664,0.3125,0.0,1.0,0.0,0.0,0.9499177595981664,1,0,1,1.0,0.0,0.0,False,0.3125,12.0,2.6666666666666665,18.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1402,mnist,mlp,4,32,1402,0-2-3,0,2,3,activation,0.7775,0.795,0.602,0.19300000000000006,0.736,0.05900000000000005,0.287109375,random_noncentral,best_validation_baseline,32,False,0.9354143466934853,0.9921567416492214,0.125,0.0,1.0,0.0,0.0,0.9921567416492214,1,0,1,1.0,0.0,0.0,False,0.125,8.0,4.0,22.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1402,mnist,mlp,4,32,1402,1-2-3,1,2,3,activation,0.7775,0.795,0.602,0.19300000000000006,0.736,0.05900000000000005,0.287109375,random_noncentral,best_validation_baseline,32,False,0.8838834764831844,0.9757809372497496,0.21875,0.0,1.0,0.0,0.0,0.9757809372497496,1,0,1,1.0,0.0,0.0,False,0.21875,9.0,3.5555555555555554,21.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N3_W16_S1403,mnist,mlp,3,16,1403,0-1-2,0,1,2,activation,0.6383333333333333,0.661,0.313,0.34800000000000003,0.578,0.08300000000000007,0.16666666666666666,edge_outlier_or_noise,c2m3_cycle_consistent,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,6.0,2.6666666666666665,9.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N3_W32_S1403,mnist,mlp,3,32,1403,0-1-2,0,1,2,activation,0.7716666666666666,0.779,0.608,0.17100000000000004,0.723,0.05600000000000005,0.1875,random_noncentral,best_validation_baseline,32,False,0.8838834764831844,0.9757809372497496,0.21875,0.0,1.0,0.0,0.0,0.9757809372497496,1,0,1,1.0,0.0,0.0,False,0.21875,11.0,2.909090909090909,17.0,real MNIST activation-permutation triangle residual,1.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1403,mnist,mlp,4,16,1403,0-1-2,0,1,2,activation,0.696,0.755,0.515,0.24,0.63,0.125,0.2890625,random_noncentral,best_validation_baseline,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,6.0,2.6666666666666665,10.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1403,mnist,mlp,4,16,1403,0-1-3,0,1,3,activation,0.696,0.755,0.515,0.24,0.63,0.125,0.2890625,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,4.0,4.0,13.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1403,mnist,mlp,4,16,1403,0-2-3,0,2,3,activation,0.696,0.755,0.515,0.24,0.63,0.125,0.2890625,random_noncentral,best_validation_baseline,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,7.0,2.2857142857142856,7.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1403,mnist,mlp,4,16,1403,1-2-3,1,2,3,activation,0.696,0.755,0.515,0.24,0.63,0.125,0.2890625,random_noncentral,best_validation_baseline,16,False,0.9354143466934853,0.9921567416492215,0.125,0.0,1.0,0.0,0.0,0.9921567416492215,1,0,1,1.0,0.0,0.0,False,0.125,5.0,3.2,10.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1403,mnist,mlp,4,32,1403,0-1-2,0,1,2,activation,0.7815,0.798,0.606,0.19200000000000006,0.729,0.06900000000000006,0.26953125,random_noncentral,best_validation_baseline,32,False,0.9013878188659973,0.9822646028438569,0.1875,0.0,1.0,0.0,0.0,0.9822646028438569,1,0,1,1.0,0.0,0.0,False,0.1875,8.0,4.0,21.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1403,mnist,mlp,4,32,1403,0-1-3,0,1,3,activation,0.7815,0.798,0.606,0.19200000000000006,0.729,0.06900000000000006,0.26953125,random_noncentral,best_validation_baseline,32,False,0.9185586535436918,0.9877175393299442,0.15625,0.0,1.0,0.0,0.0,0.9877175393299442,1,0,1,1.0,0.0,0.0,False,0.15625,7.0,4.571428571428571,23.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1403,mnist,mlp,4,32,1403,0-2-3,0,2,3,activation,0.7815,0.798,0.606,0.19200000000000006,0.729,0.06900000000000006,0.26953125,random_noncentral,best_validation_baseline,32,False,0.7905694150420949,0.9270248108869578,0.375,0.0,1.0,0.0,0.0,0.9270248108869578,1,0,1,1.0,0.0,0.0,False,0.375,15.0,2.1333333333333333,14.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1403,mnist,mlp,4,32,1403,1-2-3,1,2,3,activation,0.7815,0.798,0.606,0.19200000000000006,0.729,0.06900000000000006,0.26953125,random_noncentral,best_validation_baseline,32,False,0.82915619758885,0.9499177595981664,0.3125,0.0,1.0,0.0,0.0,0.9499177595981664,1,0,1,1.0,0.0,0.0,False,0.3125,13.0,2.4615384615384617,15.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N3_W16_S1404,mnist,mlp,3,16,1404,0-1-2,0,1,2,activation,0.6763333333333333,0.731,0.479,0.252,0.652,0.07899999999999996,0.16666666666666666,edge_outlier_or_noise,c2m3_cycle_consistent,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,6.0,2.6666666666666665,10.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N3_W32_S1404,mnist,mlp,3,32,1404,0-1-2,0,1,2,activation,0.7796666666666666,0.798,0.599,0.19900000000000007,0.717,0.08100000000000007,0.1840277777777778,random_noncentral,best_validation_baseline,32,False,0.9013878188659973,0.9822646028438569,0.1875,0.0,1.0,0.0,0.0,0.9822646028438569,1,0,1,1.0,0.0,0.0,False,0.1875,8.0,4.0,21.0,real MNIST activation-permutation triangle residual,0.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1404,mnist,mlp,4,16,1404,0-1-2,0,1,2,activation,0.7065,0.745,0.545,0.19999999999999996,0.644,0.10099999999999998,0.265625,random_noncentral,best_validation_baseline,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,6.0,2.6666666666666665,6.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1404,mnist,mlp,4,16,1404,0-1-3,0,1,3,activation,0.7065,0.745,0.545,0.19999999999999996,0.644,0.10099999999999998,0.265625,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,7.0,2.2857142857142856,5.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1404,mnist,mlp,4,16,1404,0-2-3,0,2,3,activation,0.7065,0.745,0.545,0.19999999999999996,0.644,0.10099999999999998,0.265625,random_noncentral,best_validation_baseline,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,8.0,2.0,5.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1404,mnist,mlp,4,16,1404,1-2-3,1,2,3,activation,0.7065,0.745,0.545,0.19999999999999996,0.644,0.10099999999999998,0.265625,random_noncentral,best_validation_baseline,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,9.0,1.7777777777777777,5.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1404,mnist,mlp,4,32,1404,0-1-2,0,1,2,activation,0.7877500000000001,0.796,0.638,0.15800000000000003,0.7,0.09600000000000009,0.275390625,random_noncentral,best_validation_baseline,32,False,0.82915619758885,0.9499177595981664,0.3125,0.0,1.0,0.0,0.0,0.9499177595981664,1,0,1,1.0,0.0,0.0,False,0.3125,14.0,2.2857142857142856,12.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1404,mnist,mlp,4,32,1404,0-1-3,0,1,3,activation,0.7877500000000001,0.796,0.638,0.15800000000000003,0.7,0.09600000000000009,0.275390625,random_noncentral,best_validation_baseline,32,False,0.9354143466934853,0.9921567416492214,0.125,0.0,1.0,0.0,0.0,0.9921567416492214,1,0,1,1.0,0.0,0.0,False,0.125,9.0,3.5555555555555554,11.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1404,mnist,mlp,4,32,1404,0-2-3,0,2,3,activation,0.7877500000000001,0.796,0.638,0.15800000000000003,0.7,0.09600000000000009,0.275390625,random_noncentral,best_validation_baseline,32,False,0.7905694150420949,0.9270248108869578,0.375,0.0,1.0,0.0,0.0,0.9270248108869578,1,0,1,1.0,0.0,0.0,False,0.375,14.0,2.2857142857142856,12.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1404,mnist,mlp,4,32,1404,1-2-3,1,2,3,activation,0.7877500000000001,0.796,0.638,0.15800000000000003,0.7,0.09600000000000009,0.275390625,random_noncentral,best_validation_baseline,32,False,0.9185586535436918,0.9877175393299442,0.15625,0.0,1.0,0.0,0.0,0.9877175393299442,1,0,1,1.0,0.0,0.0,False,0.15625,10.0,3.2,9.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
