group_name,family,method,n_runs,mean_validation_accuracy,mean_test_accuracy,mean_validation_loss,mean_test_loss,mean_naive_representation_residual,mean_invariant_pooling_residual,mean_parameter_multiplier,mean_inference_multiplier
S3,planted_nonabelian_holonomy,branch_orbit_lift_with_invariant_pooling,150,0.8994200000000001,0.8985799999999998,0.38835868011456287,0.3916114959997202,1.4142135623730954,0.0,6.0,6.0
S3,planted_nonabelian_holonomy,random_same_branch_count_control,150,0.76366,0.7623866666666667,0.9024599944284568,0.9074141292513366,1.4142135623730954,1.4142135623730954,6.0,6.0
S3,planted_nonabelian_holonomy,oracle_true_branch_lift,150,0.9623266666666666,0.9636133333333331,0.15032656688836157,0.14561160204674153,1.4142135623730954,0.0,6.0,6.0
S3,planted_nonabelian_holonomy,greedy_soup,150,0.7206933333333332,0.7171466666666667,1.0650358755174902,1.078466146009738,1.4142135623730954,0.0,1.0,1.0
S3,planted_nonabelian_holonomy,ensemble_upper_bound,150,0.9693333333333334,0.9694166666666666,0.12387560894503385,0.1236110242536355,1.4142135623730954,0.0,1.0,1.0
S3,random_noncoherent_null,unlifted_weight_average,150,0.6886,0.6885333333333333,1.1865473472370867,1.1868396358829052,1.3576450198781715,0.0,1.0,1.0
S3,random_noncoherent_null,unlifted_c2m3_sync,150,0.7149999999999999,0.7129966666666666,1.0867984130951533,1.0943320929676486,1.3576450198781715,0.0,1.0,1.0
S3,random_noncoherent_null,naive_regular_representation_no_pooling,150,0.68812,0.6877666666666666,1.1883316798455057,1.189531217786195,1.3576450198781715,0.0,1.0,1.0
S3,random_noncoherent_null,branch_regular_lift_with_invariant_pooling,150,0.6985666666666667,0.7000766666666667,1.1487396140357444,1.1428441286910351,1.3576450198781715,1.0,6.0,6.0
S3,random_noncoherent_null,branch_orbit_lift_with_invariant_pooling,150,0.69448,0.6942833333333334,1.1640323458667876,1.1649582379083803,1.3576450198781715,1.0,6.0,6.0
S3,random_noncoherent_null,random_same_branch_count_control,150,0.7082466666666666,0.7091899999999999,1.1119558924799704,1.1088727499374336,1.3576450198781715,1.0,6.0,6.0
S3,random_noncoherent_null,oracle_true_branch_lift,150,0.71722,0.71905,1.0781306063892242,1.0712577793528264,1.3576450198781715,1.0,6.0,6.0
S3,random_noncoherent_null,greedy_soup,150,0.7226066666666666,0.7243766666666667,1.058117872180632,1.0511543152096643,1.3576450198781715,0.0,1.0,1.0
