summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_chose_c2m3,selector_chose_monomial,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,selector_no_test_leakage,pearson_centrality_improvement_vs_monomial_gain,spearman_centrality_improvement_vs_monomial_gain,mean_monomial_centrality_improvement,mean_monomial_accuracy_delta_vs_c2m3,claim,claim_decision,claim_reason
method_summary,fixed_setting,3,16,ensemble_upper_bound,,20.0,20.0,0.83295,0.002035830362077819,0.8419435192108153,-0.011649999999999988,0.09324999999999997,0.014849999999999974,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,greedy_soup,,20.0,20.0,0.8180999999999999,0.003363816754505912,0.871769052886963,0.0031999999999999863,0.0784,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,monomial_scale,,20.0,20.0,0.7574,0.006565620185561503,1.1235972995758057,0.06389999999999997,0.017700000000000014,-0.060699999999999976,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,monomial_scaled_greedy_soup,,20.0,20.0,0.8180999999999999,0.003363816754505912,0.8717690494537355,0.0031999999999999863,0.0784,0.0,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,validated_ladder_selector,,20.0,20.0,0.7623500000000001,0.0049943520732502415,1.1228266746520996,0.05894999999999997,0.022650000000000014,-0.05574999999999999,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,weight_average,,20.0,20.0,0.5444000000000001,0.021355314881410913,1.6556901710510252,0.27690000000000003,-0.1953,-0.2737,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,c2m3_greedy_soup,,20.0,20.0,0.85305,0.0013347087204409267,0.6313865449905396,0.002400000000000002,0.0309,0.0006000000000000005,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,c2m3_permutation,,20.0,20.0,0.8221499999999999,0.0041385701827919615,0.8244747554779053,0.0333,0.0,-0.0303,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,ensemble_upper_bound,,20.0,20.0,0.85695,0.001186491954416354,0.6153595148086548,-0.0015000000000000013,0.034800000000000005,0.004500000000000004,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,greedy_soup,,20.0,20.0,0.8524499999999999,0.0013982601971547972,0.6261431915283203,0.0030000000000000027,0.0303,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
