dataset,target_heterophily,seed,observed_heterophily,edge_count,triangle_count,train_nodes,validation_nodes,test_nodes,official_nsd_run,implementation,method,train_accuracy,validation_accuracy,test_accuracy,train_loss,validation_loss,test_loss,cycle_inconsistency_mean,cycle_inconsistency_std,cycle_regularizer_lambda,hidden_feature_variance,dirichlet_energy,best_epoch,epochs_ran,parameter_count
synthetic_heterophilic_sbm,0.55,0,0.5567010309278351,485,61,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.875,0.8472222089767456,0.1218363419175148,0.33516016602516174,0.2835892140865326,1.031662940979004,0.6363714337348938,0.0,0.4144575297832489,1.7585701942443848,7,43,2235
synthetic_heterophilic_sbm,0.55,0,0.5567010309278351,485,61,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.8333333134651184,0.9027777910232544,0.10788639634847641,0.312558650970459,0.2571973502635956,0.4249040484428406,0.3242781162261963,0.05,0.42221376299858093,1.671373724937439,7,43,2235
synthetic_heterophilic_sbm,0.55,1,0.5944333996023857,503,90,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,0.9166666865348816,0.6666666865348816,0.7083333134651184,0.3778296411037445,0.5849007368087769,0.547722578048706,,,0.0,0.026821628212928772,0.14297696948051453,20,56,458
synthetic_heterophilic_sbm,0.55,1,0.5944333996023857,503,90,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.875,0.9027777910232544,0.09939492493867874,0.36481842398643494,0.2451171576976776,1.2356164455413818,0.6242421865463257,0.0,0.4320649802684784,1.8530858755111694,7,43,2235
synthetic_heterophilic_sbm,0.55,1,0.5944333996023857,503,90,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.875,0.9305555820465088,0.06792110949754715,0.3130379021167755,0.21477480232715607,0.45808055996894836,0.34552380442619324,0.05,0.5348049998283386,1.7627806663513184,9,45,2235
synthetic_heterophilic_sbm,0.55,2,0.5378151260504201,476,82,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,0.8333333134651184,0.7916666865348816,0.6944444179534912,0.46738240122795105,0.5933573246002197,0.6023199558258057,,,0.0,0.020596615970134735,0.14250488579273224,23,59,458
synthetic_heterophilic_sbm,0.55,2,0.5378151260504201,476,82,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,1.0,0.8611111044883728,0.00038637322722934186,0.026473162695765495,0.7871978282928467,1.3853901624679565,0.6036999225616455,0.0,1.4988874197006226,1.820501685142517,25,61,2235
synthetic_heterophilic_sbm,0.55,2,0.5378151260504201,476,82,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.9583333134651184,0.8472222089767456,0.0004302510351408273,0.06777799874544144,0.7575831413269043,0.4398379921913147,0.2885487973690033,0.05,1.6464519500732422,1.8151423931121826,25,61,2235
synthetic_heterophilic_sbm,0.85,0,0.8202959830866807,473,58,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,1.0,0.9583333134651184,0.0044485097751021385,0.043574485927820206,0.0668259784579277,,,0.0,0.19119393825531006,0.4915608763694763,92,120,458
synthetic_heterophilic_sbm,0.85,0,0.8202959830866807,473,58,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,0.9583333134651184,0.9166666865348816,0.9166666865348816,0.10535892099142075,0.19326108694076538,0.20010916888713837,0.7342381477355957,0.5134684443473816,0.0,0.5257044434547424,2.2515268325805664,6,42,2235
synthetic_heterophilic_sbm,0.85,0,0.8202959830866807,473,58,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,0.9583333134651184,0.9583333134651184,0.9027777910232544,0.08140706270933151,0.18511205911636353,0.2007267028093338,0.7023583650588989,0.5139879584312439,0.05,0.6083952784538269,2.297403573989868,8,44,2235
synthetic_heterophilic_sbm,0.85,1,0.8664047151277013,509,55,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,1.0,0.9583333134651184,0.0006535988650284708,0.06183866783976555,0.1295742392539978,,,0.0,0.31269562244415283,0.7753782272338867,92,120,458
synthetic_heterophilic_sbm,0.85,1,0.8664047151277013,509,55,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.9583333134651184,0.9166666865348816,0.038499291986227036,0.1844264715909958,0.2451506406068802,1.0450642108917236,0.6053799986839294,0.0,0.5465309023857117,2.286391019821167,5,41,2235
synthetic_heterophilic_sbm,0.85,1,0.8664047151277013,509,55,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.9166666865348816,0.9444444179534912,0.010915149934589863,0.148492693901062,0.19046269357204437,0.5540376305580139,0.36949536204338074,0.05,0.7224054932594299,2.395084857940674,8,44,2235
synthetic_heterophilic_sbm,0.85,2,0.8656716417910447,469,42,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,1.0,1.0,0.0018495324766263366,0.02530997432768345,0.013896208256483078,,,0.0,0.2524634897708893,0.7047151327133179,78,114,458
synthetic_heterophilic_sbm,0.85,2,0.8656716417910447,469,42,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.9583333134651184,0.9583333134651184,0.017722809687256813,0.10751815885305405,0.11412891745567322,1.467198133468628,0.5601942539215088,0.0,0.9332568049430847,2.483003854751587,8,44,2235
synthetic_heterophilic_sbm,0.85,2,0.8656716417910447,469,42,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.9583333134651184,0.9583333134651184,0.007377050817012787,0.05562596395611763,0.08008524030447006,0.4021718204021454,0.23524200916290283,0.05,1.2576704025268555,2.5361759662628174,11,47,2235
