case_id,source,noise_type,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,false_lift_rate,false_positive_central_rate,false_positive_lift_rate,false_negative_rejection_rate,period_divisible_index_obstructed_rejection_rate,mean_centrality_score,mean_phase_residual,mean_root_margin
composite_d4_k1,central_positive,entrywise_projected_unitary,0.05,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1421142266244536,0.1409872587632151,0.05956263479500314
composite_d4_k1,central_positive,unitary_near_identity,0.0,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0605752387249068e-16,1.2246467991473532e-16,0.14267836639846443
composite_d4_k1,central_positive,unitary_near_identity,0.0,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0605752387249068e-16,1.2246467991473532e-16,0.14267836639846443
composite_d4_k1,central_positive,unitary_near_identity,1e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677800448832e-07,8.220677800446636e-07,0.14267754433307145
composite_d4_k1,central_positive,unitary_near_identity,1e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677800448832e-07,8.220677800446636e-07,0.14267754433307145
composite_d4_k1,central_positive,unitary_near_identity,3e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4662033365988883e-06,2.466203336592961e-06,0.1426759002166105
composite_d4_k1,central_positive,unitary_near_identity,3e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4662033365988883e-06,2.466203336592961e-06,0.1426759002166105
composite_d4_k1,central_positive,unitary_near_identity,1e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677758366087e-06,8.220677758146573e-06,0.14267014595940142
composite_d4_k1,central_positive,unitary_near_identity,1e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677758366087e-06,8.220677758146573e-06,0.14267014595940142
composite_d4_k1,central_positive,unitary_near_identity,3e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.466203301527148e-05,2.4662033009344626e-05,0.14265370651371043
composite_d4_k1,central_positive,unitary_near_identity,3e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.466203301527148e-05,2.4662033009344626e-05,0.14265370651371043
composite_d4_k1,central_positive,unitary_near_identity,1e-05,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677372813178e-05,8.220677350861861e-05,0.1425961834944563
composite_d4_k1,central_positive,unitary_near_identity,1e-05,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.220677372813178e-05,8.220677350861861e-05,0.1425961834944563
composite_d4_k1,central_positive,unitary_near_identity,3e-05,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002466202967602711,0.00024662029083341943,0.14243196093296961
composite_d4_k1,central_positive,unitary_near_identity,3e-05,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002466202967602711,0.00024662029083341943,0.14243196093296961
composite_d4_k1,central_positive,unitary_near_identity,0.0001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008220674174350881,0.0008220671979226006,0.14185868612837538
composite_d4_k1,central_positive,unitary_near_identity,0.0001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008220674174350881,0.0008220671979226006,0.14185868612837538
composite_d4_k1,central_positive,unitary_near_identity,0.0003,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002466201404563482,0.00246619547777377,0.14023365167121066
composite_d4_k1,central_positive,unitary_near_identity,0.0003,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002466201404563482,0.00246619547777377,0.14023365167121066
composite_d4_k1,central_positive,unitary_near_identity,0.001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008220707967963769,0.008220488465912454,0.1346963515804
composite_d4_k1,central_positive,unitary_near_identity,0.001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008220707967963769,0.008220488465912454,0.1346963515804
composite_d4_k1,central_positive,unitary_near_identity,0.003,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02466363380525508,0.02465770850398892,0.12015126081285085
composite_d4_k1,central_positive,unitary_near_identity,0.003,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02466363380525508,0.02465770850398892,0.12015126081285085
composite_d4_k1,central_positive,unitary_near_identity,0.01,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08227626698714455,0.08205722500297705,0.08261113219472645
