dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
fashion_mnist,fashion_class_subsets,mlp2,128,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.8018611111111109,0.7994166666666668,0.8045555555555556,0.6976666666666668,,0.0,3.0,2.0,0.1055277777777778,0.0998041666666667,0.11141736111111111,0.07530555555555558,0.07099930555555557,0.07919444444444448,0.1585277777777778,0.14124861111111112,0.17622291666666665,0.0739166666666667,0.07008333333333336,0.07777777777777778,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.6974166666666666,0.6917194444444443,0.7038333333333332,0.6156666666666667,0.7279283179317612,0.10444444444444445,3.0,2.0,0.0010833333333333417,-0.0009729166666666787,0.00455555555555554,-0.029138888888888874,-0.03602847222222221,-0.02230486111111111,0.05408333333333333,0.03791458333333333,0.07036250000000001,-0.030527777777777765,-0.03644444444444443,-0.024582638888888876,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.7265555555555555,0.7221659722222222,0.7311666666666665,0.6712499999999999,0.7607950970135101,0.07530555555555558,3.0,2.0,0.030222222222222216,0.02363750000000002,0.0365298611111111,0.0,0.0,0.0,0.0832222222222222,0.06782638888888883,0.09930624999999996,-0.0013888888888888896,-0.0033618055555555645,0.000527777777777761,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,ties_merging,same_base_task_vector,ok,20,20,20,0.6433333333333334,0.6279986111111111,0.6602506944444445,0.5136666666666667,0.6735427314133253,0.1585277777777778,3.0,2.0,-0.05299999999999998,-0.06844444444444445,-0.03746805555555556,-0.0832222222222222,-0.09819583333333332,-0.06863888888888887,0.0,0.0,0.0,-0.08461111111111111,-0.09989027777777772,-0.06949791666666669,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,weight_average,same_base_weight_average,ok,20,20,20,0.6973333333333334,0.6915555555555555,0.7037506944444445,0.6155,0.7279830266797813,0.1045277777777778,3.0,2.0,0.0010000000000000009,-0.001083333333333336,0.004416666666666657,-0.029222222222222215,-0.03611319444444442,-0.022471527777777774,0.05399999999999998,0.03788472222222221,0.07030624999999997,-0.030611111111111106,-0.03647291666666667,-0.02466666666666666,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,base_model,common_base_reference,ok,20,20,20,0.8565555555555555,0.8524437500000001,0.8602777777777776,0.8185,0.8707043398493421,0.07011111111111111,3.0,2.0,0.040138888888888904,0.0359430555555556,0.04413958333333336,-0.0037777777777777744,-0.005861111111111117,-0.0019722222222222524,0.032027777777777766,0.026861111111111124,0.03686180555555558,0.0009722222222222187,-0.002027777777777751,0.003834027777777773,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,dare,same_base_task_vector,ok,20,20,20,0.8555833333333334,0.8516659722222222,0.8593618055555556,0.7721666666666668,0.8714427622970374,0.07108333333333333,3.0,2.0,0.03916666666666668,0.036416666666666674,0.04199999999999998,-0.004749999999999993,-0.006722222222222229,-0.0028048611111110826,0.031055555555555548,0.027470833333333278,0.03463888888888882,0.0,0.0,0.0,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
mnist,mnist_digit_subsets,mlp2,64,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.8164166666666667,0.8125277777777777,0.8198611111111112,0.6596666666666666,0.8315045129292653,0.11025000000000003,3.0,2.0,0.0,0.0,0.0,-0.04391666666666667,-0.047027777777777786,-0.040805555555555595,-0.008111111111111135,-0.011084027777777807,-0.0051111111111111045,-0.03916666666666668,-0.041889583333333355,-0.03652777777777781,0.6984101573716505,0.0,task_arithmetic,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
