evidence_label,mode,corpus_seed,method,active_parameters,stored_bytes,branch_count,inference_multiplier,fusion_parameters,parameter_multiplier_vs_single,fusion_latency_ms_for_complete_test_tensor,shared_frozen_encoder_parameters,transition_feature_dimension
natural_measured,confirmatory,2,parameter_matched_generic_concat_head,14426,57704,8,8.0,5130,12.414802065404475,1.4433329924941063,11176512,64
natural_measured,confirmatory,3,best_individual_adapter,1162,4648,1,1.0,0,1.0,0.023458153009414673,11176512,64
natural_measured,confirmatory,3,raw_parameter_average,1162,4648,1,1.0,0,1.0,0.427749939262867,11176512,64
natural_measured,confirmatory,3,pairwise_reference_alignment,9296,168256,8,8.0,0,8.0,0.33412501215934753,11176512,64
natural_measured,confirmatory,3,global_c2m3_synchronization,9946,170856,8,8.0,650,8.559380378657487,0.25466689839959145,11176512,64
natural_measured,confirmatory,3,graph_synchronized_adapter_merge,9296,168256,8,8.0,0,8.0,0.6059170700609684,11176512,64
natural_measured,confirmatory,3,regular_d4_branch_invariant_pooling,9296,37184,8,8.0,0,8.0,1.1309590190649033,11176512,64
natural_measured,confirmatory,3,orbit_branch_invariant_pooling,9296,168256,8,8.0,0,8.0,8.395459037274122,11176512,64
natural_measured,confirmatory,3,generic_mixture_of_experts,9296,37184,8,8.0,0,8.0,2.906374866142869,11176512,64
natural_measured,confirmatory,3,learned_router,9432,37728,8,8.0,136,8.117039586919105,4.073959076777101,11176512,64
natural_measured,confirmatory,3,d4_test_time_augmentation,1162,4648,8,8.0,0,1.0,0.013415934517979622,11176512,64
natural_measured,confirmatory,3,random_branch_count_matched_control,9296,37184,8,8.0,0,8.0,0.9280410595238209,11176512,64
natural_measured,confirmatory,3,wrong_group_action_control,9296,37184,8,8.0,0,8.0,0.6447501946240664,11176512,64
natural_measured,confirmatory,3,wrong_multiplication_order_control,9296,37184,8,8.0,0,8.0,1.937291119247675,11176512,64
natural_measured,confirmatory,3,prediction_ensemble_upper_bound,9296,37184,8,8.0,0,8.0,0.08599995635449886,11176512,64
natural_measured,confirmatory,3,oracle_chart_aware_fusion,1162,37184,1,1.0,0,1.0,0.028125010430812836,11176512,64
natural_measured,confirmatory,3,parameter_matched_generic_concat_head,14426,57704,8,8.0,5130,12.414802065404475,2.118416130542755,11176512,64
natural_measured,confirmatory,4,best_individual_adapter,1162,4648,1,1.0,0,1.0,0.01845788210630417,11176512,64
natural_measured,confirmatory,4,raw_parameter_average,1162,4648,1,1.0,0,1.0,0.3650421276688576,11176512,64
natural_measured,confirmatory,4,pairwise_reference_alignment,9296,168256,8,8.0,0,8.0,0.3160829655826092,11176512,64
natural_measured,confirmatory,4,global_c2m3_synchronization,9946,170856,8,8.0,650,8.559380378657487,0.21733297035098076,11176512,64
natural_measured,confirmatory,4,graph_synchronized_adapter_merge,9296,168256,8,8.0,0,8.0,0.38537499494850636,11176512,64
natural_measured,confirmatory,4,regular_d4_branch_invariant_pooling,9296,37184,8,8.0,0,8.0,0.5232500843703747,11176512,64
natural_measured,confirmatory,4,orbit_branch_invariant_pooling,9296,168256,8,8.0,0,8.0,3.2479590736329556,11176512,64
natural_measured,confirmatory,4,generic_mixture_of_experts,9296,37184,8,8.0,0,8.0,1.7409580759704113,11176512,64
natural_measured,confirmatory,4,learned_router,9432,37728,8,8.0,136,8.117039586919105,3.264583181589842,11176512,64
natural_measured,confirmatory,4,d4_test_time_augmentation,1162,4648,8,8.0,0,1.0,0.002375105395913124,11176512,64
natural_measured,confirmatory,4,random_branch_count_matched_control,9296,37184,8,8.0,0,8.0,0.593000091612339,11176512,64
natural_measured,confirmatory,4,wrong_group_action_control,9296,37184,8,8.0,0,8.0,0.4769167862832546,11176512,64
natural_measured,confirmatory,4,wrong_multiplication_order_control,9296,37184,8,8.0,0,8.0,0.43970905244350433,11176512,64
natural_measured,confirmatory,4,prediction_ensemble_upper_bound,9296,37184,8,8.0,0,8.0,0.05033286288380623,11176512,64
natural_measured,confirmatory,4,oracle_chart_aware_fusion,1162,37184,1,1.0,0,1.0,0.027041183784604073,11176512,64
natural_measured,confirmatory,4,parameter_matched_generic_concat_head,14426,57704,8,8.0,5130,12.414802065404475,1.1876251082867384,11176512,64
